NA,River,Point_bar_designation,Bar_Area_(km2),Amplitude_(m),CB_Width_(2x_Amplitude_-_m),Measured_Channel-belt_Width_(m),Channel-belt_1/2_wavelength_(m),Meander_wavelength_(2x_1/2_lambd,Long_axis_Length_(m),Short_Axis_Length_(m),Thickness_(m),CB_W/T,"CB
wavelength
/_thickness","CB_1/2
wavelength_/_amplitude",Bankfull_Thickness_Type,Mean_Bankfull_thickness_(m),Maximum_Bankfull_thickness_(m),Intermediate_Bankfull_Thickness_(m),Eddy_Accretion_thickness_(m),Contributing_Drainage_Area_(km2)
0,Amite,1,0.084,370,740,757,270,540,370,270,8,93,68,0.73,maximum,NA,8,NA,NA,7800
1,Araguaia,1,1.398,1570,3140,3463,2130,4260,2130,1570,14,224,304,1.36,mean,14,NA,NA,NA,117580
2,Araguaia,2,2.413,1220,2440,3463,1610,3220,1610,1220,14,174,230,1.32,mean,14,NA,NA,NA,117580
3,Araguaia,3,4.742,3630,7260,4727,1960,3920,3630,1960,14,519,280,0.54,mean,14,NA,NA,NA,117580
4,Arkansas,Altheimer1,1.857,3170,6340,3478,760,1520,3170,760,14,453,109,0.24,maximum,NA,14,NA,NA,416000
5,Arkansas,Bonita1,NA,881,1762,2920,1786,3572,1786,881,15,116,234,2.03,maximum,NA,15,NA,NA,416000
6,Arkansas,Callie lake,1.85,1930,3860,3691,1240,2480,1930,1240,18,214,138,0.64,intermediate,NA,21,18,NA,416000
7,Arkansas,Gillette 1,2.55,1900,3800,5925,1740,3480,1900,1740,17,224,205,0.92,intermediate,NA,NA,17,NA,416000
8,Arkansas,LakeVillage1,1.69,1551,3102,3476,1372,2744,1551,1372,12,268,237,0.88,intermediate,NA,NA,12,NA,416000
9,Arkansas,Noble 1,10.2,5120,10240,7334,2960,5920,5120,2960,11,931,538,0.58,mean,11,18,17,NA,416000
10,Arkansas,Noble 2,5.6,2970,5940,5482,2430,4860,2970,2430,15,396,324,0.82,intermediate,10,15,17,NA,416000
11,Arkansas,Sawyer Bend,1.8,1650,3300,4302,1800,3600,1800,1650,18,183,200,1.09,intermediate,10,20,NA,NA,416000
12,Assiniboine,P15,0.138,250,500,1010,774,1548,774,250,10,50,155,3.1,mean,10,NA,NA,NA,153000
13,Assiniboine,P9,0.561,1011,2022,2005,659,1318,659,1011,12,169,110,0.65,intermediate,NA,NA,12,NA,153000
14,Barwon,1,0.48,750,1500,1247,890,1780,890,750,10,150,178,1.19,mean,10,14,NA,NA,139000
15,Beatton,1,0.22,680,1360,984,410,820,680,410,7,194,117,0.6,maximum,NA,7,NA,NA,3350
16,Beatton,2,0.24,930,1860,762,460,920,930,460,7,266,131,0.49,maximum,NA,7,NA,NA,3350
17,Beatton,4,0.14,630,1260,1796,300,600,630,300,7,180,86,0.48,maximum,NA,7,NA,NA,3350
18,Beatton,6,0.46,810,1620,1796,750,1500,810,750,7,231,214,0.93,maximum,NA,7,NA,NA,3350
