"SampleID","SpotID","Crystallization_Age_Ma","Hf176_Hf177","Hf176_Hf177_1s","Lu176_Hf177","Yb176_Hf177","Hf176_Hf177_initial","eHf","eHf_1s"
194783,"194783-02.1",1302.442227,0.281972,1.7e-05,0.000836,0.039483,0.281951,-0.15103,0.595
194783,"194783-05.1",1269.672719,0.281994,1.1e-05,0.000821,0.0291,0.281974,-0.076046,0.385
194783,"194783-08.1",1252.565856,0.281979,1.8e-05,0.000775,0.032231,0.28196,-0.94458,0.63
194783,"194783-10.1",1288.375536,0.281921,9e-06,0.00098,0.045391,0.281897,-2.392066,0.3325
194783,"194783-11.1",1257.344247,0.281906,1.1e-05,0.000972,0.031685,0.281882,-3.594597,0.385
194783,"194783-13.1",1245.058092,0.281964,1.1e-05,0.000944,0.047704,0.281941,-1.781682,0.385
194783,"194783-14.1",1278.222398,0.281914,7e-06,0.000617,0.02208,0.281899,-2.551228,0.245
194783,"194783-16.1",1329,0.28193,8e-06,0.001349,0.056028,0.281896,-1.514022,0.2835
194783,"194783-17.1",1319,0.28192,1e-05,0.000847,0.025254,0.281898,-1.641632,0.35
194783,"194783-19.1",1287,0.281922,1.2e-05,0.001072,0.037748,0.281895,-2.465538,0.42
194783,"194783-20.1",1285,0.281893,9e-06,0.000985,0.037234,0.281869,-3.462708,0.3185
194783,"194783-22.1",1302,0.281958,9e-06,0.001235,0.042686,0.281927,-1.004907,0.343
194783,"194783-23.1",1798,0.281666,1.3e-05,0.000857,0.034399,0.281636,-0.108837,0.455
194783,"194783-24.1",1294,0.281932,7e-06,0.00113,0.043019,0.281904,-2.009323,0.2765
194782,"194782-01.1",1292.609594,0.282021,7e-06,0.000796,0.035415,0.282001,1.406467,0.2485
194782,"194782-01.2",1251.719829,0.282043,7e-06,0.000718,0.031509,0.282026,1.354032,0.259
194782,"194782-04.1",1276.320073,0.282051,5e-06,0.001094,0.048095,0.282024,1.857516,0.2065
194782,"194782-05.1",1248.394884,0.282037,5e-06,0.000784,0.034021,0.282018,1.013485,0.175
194782,"194782-06.1",1235.006883,0.282026,7e-06,0.000848,0.037357,0.282006,0.276262,0.2555
194782,"194782-07.1",1297.110153,0.282049,6e-06,0.000758,0.032892,0.28203,2.530771,0.2205
194782,"194782-08.1",1244.477525,0.282041,7e-06,0.000597,0.025531,0.282026,1.224626,0.259
194782,"194782-10.1",1281.779259,0.282063,6e-06,0.000905,0.036792,0.282041,2.564063,0.217
194782,"194782-13.1",1301.515616,0.281988,9e-06,0.00099,0.045125,0.281963,0.262218,0.329
194782,"194782-14.1",1268.878564,0.28202,8e-06,0.000805,0.035511,0.282,0.841922,0.2905
194782,"194782-16.1",1290.342306,0.281974,7e-06,0.000479,0.020424,0.281962,-0.036598,0.259
194782,"194782-17.1",1263.989864,0.282016,8e-06,0.000989,0.043328,0.281992,0.43721,0.287
194782,"194782-18.1",1288.088679,0.281996,5e-06,0.000908,0.038561,0.281973,0.323532,0.1925
194782,"194782-20.1",1307.22474,0.28201,6e-06,0.000988,0.04291,0.281985,1.169275,0.231
194782,"194782-22.1",1290.372706,0.282042,8e-06,0.000817,0.034991,0.282022,2.083879,0.2905
194782,"194782-24.1",1285.974021,0.28201,6e-06,0.000926,0.038464,0.281987,0.758222,0.2135
194782,"194782-25.1",1311.898471,0.282036,6e-06,0.000645,0.027602,0.28202,2.494518,0.224
177909,"177909-01.1",1272,0.281905,6e-06,0.00016,0.012052,0.281901,-2.618528,0.2345
177909,"177909-03.1",1271,0.281947,1e-05,0.000215,0.015526,0.281941,-1.198415,0.35
177909,"177909-08.1",1266,0.282196,2.3e-05,0.001227,0.08173,0.282166,6.663398,0.805
177909,"177909-10.1",1248,0.282235,1.5e-05,0.000813,0.052108,0.282215,8.001804,0.525
177909,"177909-13.1",1327,0.282059,1.6e-05,0.000967,0.051162,0.282034,3.35776,0.56
177909,"177909-16.1",1246,0.281927,6e-06,0.000126,0.00879,0.281924,-2.391408,0.2135
177909,"177909-18.1",1289,0.282027,9e-06,0.000789,0.047214,0.282007,1.545933,0.3255
177909,"177909-19.1",1263,0.28194,3e-06,0.000109,0.007919,0.281937,-1.5354,0.126
177909,"177909-20.1",1321,0.281918,7e-06,0.000162,0.010386,0.281913,-1.062563,0.252
177909,"177909-24.1",1333,0.282015,9e-06,0.001012,0.06026,0.281989,1.888008,0.329
177909,"177909-26.1",1295,0.281958,1.1e-05,0.000414,0.022927,0.281947,-0.444939,0.385
177909,"177909-29.1",1300,0.282234,2.1e-05,0.001037,0.066806,0.282208,8.913264,0.735
182203,"182203-01.1",1188.947896,0.281912,7e-06,0.000428,0.022193,0.281902,-4.439853,0.259
182203,"182203-05.1",1223.075075,0.281905,5e-06,0.000363,0.017526,0.281896,-3.878317,0.196
182203,"182203-07.1",1150.989607,0.282129,3.9e-05,0.000562,0.028969,0.282116,2.310613,1.365
182203,"182203-09.1",1152.316026,0.281921,7e-06,0.000417,0.021228,0.281911,-4.923107,0.252
182203,"182203-11.1",1131.451483,0.281938,8e-06,0.000548,0.025329,0.281926,-4.881567,0.3045
182203,"182203-13.1",1203.869345,0.281936,3e-06,0.000538,0.025155,0.281923,-3.347077,0.1295
182203,"182203-15.1",1149.990157,0.281918,7e-06,0.000562,0.023612,0.281905,-5.192533,0.259
182203,"182203-17.1",986.581443,0.281933,1e-05,0.00064,0.02878,0.281921,-8.30614,0.35
182203,"182203-19.1",1204.711276,0.281937,6e-06,0.000526,0.028002,0.281925,-3.283334,0.238
182203,"182203-21.1",1217.53464,0.28193,1e-05,0.000559,0.024239,0.281917,-3.274539,0.35
182203,"182203-23.1",1142.300018,0.281945,9e-06,0.000535,0.020338,0.281933,-4.384236,0.322
182203,"182203-25.1",1179.717258,0.281946,9e-06,0.000632,0.03022,0.281931,-3.599674,0.3465
182203,"182203-27.1",1188.915938,0.281954,6e-06,0.000408,0.014869,0.281944,-2.935703,0.2345
182203,"182203-29.1",1106.212502,0.281956,7e-06,0.000552,0.024796,0.281944,-4.801998,0.266
182203,"182203-31.1",1153.233973,0.28194,6e-06,0.000458,0.015457,0.28193,-4.260528,0.231
182203,"182203-33.1",1179.567933,0.281979,7e-06,0.000422,0.018033,0.281969,-2.266906,0.2485
182203,"182203-34.1",1292.964482,0.281933,9e-06,0.0016,0.078615,0.281893,-2.40287,0.3185
