"SampleID","SpotID","Crystallization_Age_Ma","Hf176_Hf177","Hf176_Hf177_1s","Lu176_Hf177","Yb176_Hf177","Hf176_Hf177_initial","eHf","eHf_1s"
"JJVBL6","JJVBL6-01",619,0.281758,1.5e-05,0.000432,0.0175129,0.281752984,-22.4,0.53
"JJVBL6","JJVBL6-02",503,0.282232,3.6e-05,0.00476523,0.241243,0.282187087,-9.6,1.26
"JJVBL6","JJVBL6-03",552,0.282378,1e-05,0.000379446,0.015612,0.282374074,-1.9,0.35
"JJVBL6","JJVBL6-04",1096,0.282339,1.6e-05,0.00235419,0.0850836,0.282290384,7.2,0.56
"JJVBL6","JJVBL6-05",1620,0.293337,0.004,0.00186894,0.122895,0.293279672,409.1,140
"JJVBL6","JJVBL6-06",1944,0.281462,1.2e-05,0.000644153,0.0214005,0.281438217,-3.8,0.42
"JJVBL6","JJVBL6-07",1804,0.281157,8.9e-06,0.0013498,0.0502301,0.281110814,-18.6,0.31
"JJVBL6","JJVBL6-08",776,0.282462,1.2e-05,0.00105769,0.0377562,0.282446581,5.6,0.42
"JJVBL6","JJVBL6-09",1311,0.28168,1.2e-05,0.000575547,0.0213273,0.281665754,-10.1,0.42
"JJVBL6","JJVBL6-10",2121,0.28127,1.6e-05,0.000440357,0.0144634,0.281252232,-6.4,0.56
"JJVBL6","JJVBL6-11",889,0.282503,2.2e-05,0.00264429,0.135053,0.282458793,8.6,0.77
"JJVBL6","JJVBL6-12",3069,0.281001,1.5e-05,0.00104947,0.0419464,0.280939179,4.4,0.53
"JJVBL6","JJVBL6-13",741,0.282283,8.7e-06,0.00129417,0.0531283,0.282264991,-1.6,0.3
"JJVBL6","JJVBL6-14",941,0.282208,9.7e-06,0.0010965,0.0361413,0.282188587,0.2,0.34
"JJVBL6","JJVBL6-15",818,0.282312,1.1e-05,0.00112116,0.0455341,0.282294765,1.2,0.39
"JJVBL6","JJVBL6-16",2687,0.281138,1e-05,0.000821663,0.0321008,0.281095775,1.1,0.35
"JJVBL6","JJVBL6-17",1021,0.282184,1.3e-05,0.00113139,0.0388565,0.28216225,1,0.46
"JJVBL6","JJVBL6-18",652,0.282479,7.1e-06,0.000406151,0.013007,0.282474031,3.8,0.25
"JJVBL6","JJVBL6-19",932,0.282306,1e-05,0.000822761,0.0302327,0.282291574,3.6,0.35
"JJVBL6","JJVBL6-22",348,0.282424,1.1e-05,0.0013181,0.0524729,0.282415417,-5,0.39
"JJVBL6","JJVBL6-23",944,0.282172,1e-05,0.00115814,0.0413221,0.28215143,-1.1,0.35
"JJVBL6","JJVBL6-24",579,0.282383,1.3e-05,0.000214128,0.00702755,0.282380675,-1.1,0.46
"JJVBL6","JJVBL6-25",1726,0.281534,1.2e-05,0.000824347,0.0365837,0.281507033,-6.4,0.42
"JJVBL6","JJVBL6-26",1822,0.281594,2.5e-05,0.00102114,0.036373,0.281558705,-2.3,0.88
"JJVBL6","JJVBL6-27",2890,0.280899,9.7e-06,0.000468002,0.0159792,0.280873083,-2.1,0.34
"JJVBL6","JJVBL6-28",1928,0.281128,9.6e-06,0.0021053,0.0815968,0.281050922,-18,0.34
"JJVBL6","JJVBL6-29",1794,0.281576,1.2e-05,0.00154813,0.0489643,0.281523326,-4.2,0.42
"JJVBL6","JJVBL6-30",529,0.281894,2.2e-05,0.000732481,0.029879,0.281886738,-19.7,0.77
"JJVBL6","JJVBL6-31",1784,0.281694,2e-05,0.00138669,0.0485816,0.281647086,-0.1,0.7
"JJVBL6","JJVBL6-33",2009,0.281458,8.6e-06,0.00181341,0.0688438,0.281388767,-4.1,0.3
"JJVBL6","JJVBL6-34",1931,0.282642,2.7e-05,0.00841768,0.389323,0.282333328,27.7,0.95
