"SampleID","SpotID","Crystallization_Age_Ma","Hf176_Hf177","Hf176_Hf177_1s","Lu176_Hf177","Yb176_Hf177","Hf176_Hf177_initial","eHf","eHf_1s"
184364,9.1,1664,0.281744,1.4e-05,0.00128,0.055617,0.281703,-0.8,0.5
184364,11.1,1671,0.281746,1.7e-05,0.001325,0.063621,0.281704,-0.6,0.6
184364,15.1,1675,0.2818,1.8e-05,0.002585,0.133864,0.281717,0,0.6
184364,8.1,1679,0.281674,4.2e-05,0.003343,0.102833,0.281567,-5.3,1.5
184364,12.1,1680,0.281721,1.3e-05,0.001419,0.055607,0.281675,-1.4,0.5
184364,18.1,1685,0.281775,2.3e-05,0.002194,0.110026,0.281704,-0.3,0.8
184364,5.1,1688,0.281738,1.6e-05,0.001166,0.055996,0.2817,-0.3,0.6
184364,13.1,1688,0.281645,4.7e-05,0.003728,0.126542,0.281525,-6.5,1.6
184364,6.1,1689,0.281763,1.5e-05,0.001276,0.061759,0.281722,0.4,0.5
184364,16.1,1690,0.281767,2.2e-05,0.001565,0.081103,0.281716,0.3,0.8
184364,2.1,1692,0.281683,1.8e-05,0.001734,0.068666,0.281627,-2.8,0.6
184364,7.1,1696,0.281771,2.1e-05,0.002104,0.091649,0.281703,-0.1,0.7
184364,1.1,1700,0.281897,2e-05,0.001841,0.095964,0.281837,4.8,0.7
184364,3.1,1706,0.281698,3.2e-05,0.002454,0.094739,0.281618,-2.8,1.1
184364,4.1,1707,0.281735,2.2e-05,0.001692,0.066014,0.28168,-0.6,0.8
184353,14.1,1642,0.28184,1.5e-05,0.000773,0.035568,0.281815,2.7,0.5
184353,13.1,1644,0.281808,1.4e-05,0.000548,0.023929,0.28179,1.9,0.5
184353,2.1,1653,0.281801,8e-06,0.000597,0.026287,0.281782,1.8,0.3
184353,4.1,1654,0.281798,1.3e-05,0.000682,0.030408,0.281776,1.6,0.5
184353,9.1,1649,0.281786,1.6e-05,0.000715,0.032345,0.281763,1,0.6
184353,1.1,1641,0.281783,1.2e-05,0.000755,0.032874,0.281759,0.7,0.4
184353,12.1,1621,0.281779,9e-06,0.000541,0.024329,0.281762,0.3,0.3
184353,7.1,1640,0.281772,1.3e-05,0.000705,0.032747,0.28175,0.3,0.5
184353,10.1,1612,0.281772,1.4e-05,0.000553,0.025032,0.281755,-0.1,0.5
184353,11.1,1614,0.281766,1.3e-05,0.000822,0.032735,0.28174,-0.6,0.5
184367,35.1,1741,0.281527,9e-06,0.000806,0.042507,0.2815,-6.3,0.3
184367,34.1,1747,0.281549,8e-06,0.000907,0.041828,0.281518,-5.4,0.3
184367,26.1,1759,0.281531,1.3e-05,0.001038,0.033383,0.281496,-6,0.5
184367,4.1,1762,0.281587,1.2e-05,0.000768,0.033209,0.281561,-3.6,0.4
184367,14.1,1763,0.28145,1.2e-05,0.000799,0.036866,0.281423,-8.5,0.4
184367,24.1,1763,0.281545,1.3e-05,0.00091,0.043093,0.281514,-5.2,0.5
184367,3.1,1769,0.281562,1.5e-05,0.000772,0.030797,0.281536,-4.3,0.5
184367,7.1,1772,0.281483,1.5e-05,0.000729,0.03605,0.281458,-7,0.5
184367,10.1,1775,0.281556,1.6e-05,0.001287,0.059502,0.281512,-5,0.6
184367,29.1,1776,0.281538,1e-05,0.001011,0.037932,0.281503,-5.3,0.4
184367,12.1,1781,0.28152,2.7e-05,0.00262,0.093128,0.281431,-7.8,0.9
184367,22.1,1787,0.281544,2e-05,0.001683,0.058517,0.281486,-5.7,0.7
184367,32.1,1796,0.28157,1.1e-05,0.001178,0.052581,0.281529,-4,0.4
184367,31.1,1841,0.281539,1.5e-05,0.001287,0.047187,0.281494,-4.2,0.5
184367,30.1,1883,0.281512,8e-06,0.000985,0.047769,0.281476,-3.9,0.3
184367,5.1,1889,0.281595,9e-06,0.001414,0.061891,0.281544,-1.3,0.3
184367,17.1,1949,0.281553,1e-05,0.000658,0.026737,0.281528,-0.5,0.4
184367,23.1,2162,0.281427,1.1e-05,0.000495,0.024478,0.281406,0,0.4
184367,27.1,2306,0.281344,8e-06,0.000608,0.030304,0.281317,0.2,0.3
184367,16.1,2488,0.28138,2e-05,0.000385,0.016906,0.281361,5.9,0.7
