"SampleID","SpotID","Crystallization_Age_Ma","Hf176_Hf177","Hf176_Hf177_1s","Lu176_Hf177","Yb176_Hf177","Hf176_Hf177_initial","eHf","eHf_1s"
174589,"174589-1.2*",1080,0.282286,1.3e-05,0.001692,0.106459,0.282252,5.5,0.46
174589,"174589-4.2*",1063,0.282273,1.8e-05,0.004209,0.24925,0.282189,2.9,0.63
174589,"174589-8.1*",1073,0.282186,1.2e-05,0.002018,0.121272,0.282145,1.6,0.42
174589,"174589-10.1*",1077,0.282222,1.1e-05,0.001576,0.090965,0.28219,3.2,0.39
174589,"174589-11.1*",1077,0.282188,1.3e-05,0.004215,0.251175,0.282102,0.1,0.46
174589,"174589-15.1*",1071,0.282197,9e-06,0.00321,0.186929,0.282132,1.1,0.32
174589,"174589-18.1",1070,0.282159,7e-06,0.000831,0.042738,0.282142,1.4,0.23
174589,"174589-19.1*",1073,0.282219,1.1e-05,0.002869,0.167853,0.282161,2.1,0.39
185583,"185583-5.1",1055,0.282146,7e-06,0.00051,0.025352,0.282136,0.8,0.25
185583,"185583-6.1",1046,0.282137,8e-06,0.000528,0.025406,0.282127,0.3,0.27
185583,"185583-7.1",1080,0.28214,7e-06,0.000581,0.028327,0.282128,1.1,0.26
185583,"185583-14.1",1040,0.282116,9e-06,0.000512,0.025164,0.282106,-0.5,0.32
185583,"185583-15.1",854,0.282148,1e-05,0.000614,0.03048,0.282138,-3.6,0.35
185583,"185583-19.1",1098,0.28216,9e-06,0.000541,0.028061,0.282149,2.3,0.33
185583,"185583-23.1",1119,0.282136,7e-06,0.000666,0.034879,0.282122,1.8,0.23
185583,"185583-25.1",1129,0.282132,9e-06,0.000539,0.02781,0.282121,2,0.3
187179,"187179-3.1",1169,0.281994,6e-06,0.000275,0.014806,0.281988,-1.9,0.21
187179,"187179-4.1",1182,0.281995,9e-06,0.000315,0.016155,0.281988,-1.6,0.33
187179,"187179-5.1",1192,0.281993,7e-06,0.000301,0.010604,0.281986,-1.4,0.25
187179,"187179-6.1",1203,0.281981,1.1e-05,0.000363,0.018801,0.281973,-1.6,0.39
187179,"187179-8.1",1183,0.282095,1.9e-05,0.000388,0.013379,0.282086,1.9,0.67
187179,"187179-17.1",1195,0.282024,8e-06,0.000452,0.018587,0.282014,-0.4,0.27
187179,"187179-21.1",1194,0.281986,1.7e-05,0.000571,0.021098,0.281973,-1.8,0.6
187179,"187179-24.1",1215,0.282017,7e-06,0.000322,0.017544,0.28201,0,0.23
174737,"174737-3.1",1234,0.282062,1e-05,0.000527,0.027134,0.28205,1.8,0.35
174737,"174737-4.1C",1240,0.282051,8e-06,0.000898,0.046654,0.28203,1.2,0.28
174737,"174737-5.2C",1191,0.282053,7e-06,0.000862,0.043165,0.282034,0.3,0.23
174737,"174737-5.2R",1264,0.282075,1.3e-05,0.001339,0.069008,0.282043,2.2,0.46
174737,"174737-9.1",1238,0.282058,7e-06,0.000909,0.046084,0.282037,1.4,0.25
174737,"174737-10.1",1207,0.282042,9e-06,0.000431,0.020425,0.282032,0.6,0.3
