"SampleID","SpotID","Crystallization_Age_Ma","Hf176_Hf177","Hf176_Hf177_1s","Lu176_Hf177","Yb176_Hf177","Hf176_Hf177_initial","eHf","eHf_1s"
"WI43","WI43-2",1310,0.281877,4e-05,0.000507,0.02077,0.281864,-3.18,1.4
"WI43","WI43-6",1362,0.282124,4.8e-05,0.0017,0.0655,0.28208,5.66,1.68
"WI43","WI43-7",1383,0.282053,4.35e-05,0.002256,0.104,0.281994,3.08,1.525
"WI43","WI43-10",1394,0.281936,3.35e-05,0.001958,0.0958,0.281884,-0.56,1.175
"WI43","WI43-13",1404,0.2819,3.6e-05,0.001272,0.0619,0.281866,-0.97,1.26
"WI43","WI43-14",1371,0.282128,3.9e-05,0.001559,0.06136,0.282088,6.13,1.365
"WI43","WI43-16",1375,0.282097,3.2e-05,0.002415,0.1014,0.282034,4.33,1.12
"WI43","WI43-21",1375,0.282096,4.1e-05,0.001196,0.0579,0.282065,5.42,1.435
"WI43","WI43-22",1365,0.282064,3.6e-05,0.001505,0.0706,0.282025,3.78,1.26
"WI43","WI43-23",1369,0.281992,3.65e-05,0.001102,0.0504,0.281963,1.69,1.28
"WI43","WI43-24",1395,0.28194,4.4e-05,0.001568,0.07434,0.281899,-0.02,1.54
"WI43","WI43-25",1380,0.282018,4.2e-05,0.001429,0.0591,0.281981,2.53,1.47
"WI43","WI43-26",1301,0.282035,4.35e-05,0.000964,0.0414,0.282011,1.83,1.525
"WI43","WI43-27",1316,0.282047,3.65e-05,0.001195,0.0544,0.282017,2.39,1.28
"WI43","WI43-30",1342,0.282054,4.3e-05,0.001539,0.0693,0.282015,2.89,1.505
"WI43","WI43-31",1338,0.282035,3.2e-05,0.002099,0.08355,0.281982,1.63,1.12
"WI43","WI43-34",1321,0.281988,2.85e-05,0.001036,0.0418,0.281962,0.54,1
"WI43","WI43-38",1375,0.282015,3.1e-05,0.000934,0.04314,0.281991,2.78,1.085
"WI43","WI43-40",1326,0.282146,4.9e-05,0.002484,0.0948,0.282084,4.98,1.715
"WI43","WI43-42",1401,0.282049,4.6e-05,0.00259,0.1267,0.28198,3.01,1.61
"WI17","WI17-3",1234,0.282053,3.65e-05,0.000306,0.01499,0.282046,1.55,1.28
"WI17","WI17-10",1211,0.282129,3.7e-05,0.000269,0.01543,0.282123,4.28,1.295
"WI17","WI17-12",1230,0.282018,3.05e-05,0.000329,0.01358,0.28201,0.29,1.07
"WI17","WI17-16",1234,0.282077,3.8e-05,0.000194,0.00896,0.282072,2.5,1.33
"WI17","WI17-18",1214,0.282065,3.4e-05,0.000297,0.01367,0.282058,1.98,1.19
"WI17","WI17-19",1216,0.282094,4.35e-05,0.000172,0.00895,0.28209,3.12,1.525
"WI17","WI17-20",1214,0.282063,3.45e-05,0.000376,0.01701,0.282054,1.85,1.21
"WI17","WI17-23",1244,0.282036,3.6e-05,0.000402,0.0176,0.282027,0.87,1.26
"WI17","WI17-24",1234,0.282044,3.85e-05,0.000182,0.0095,0.28204,1.33,1.35
"WI17","WI17-26",1208,0.282087,3.25e-05,0.00021,0.01046,0.282082,2.84,1.14
"WI17","WI17-31",1221,0.282081,3.25e-05,0.000346,0.01623,0.282073,2.51,1.14
"WI17","WI17-32",1228,0.282056,3.7e-05,0.000438,0.01813,0.282046,1.55,1.295
"WI17","WI17-33",1199,0.282092,3.8e-05,0.00027,0.01335,0.282086,2.96,1.33
"WI17","WI17-36",1232,0.282071,3.85e-05,0.000213,0.01042,0.282066,2.27,1.35
"WI17","WI17-37",1301,0.28205,3.25e-05,0.000249,0.0105,0.282044,1.49,1.14
"WI17","WI17-39",1227,0.282083,4.25e-05,0.000177,0.00874,0.282079,2.72,1.49
"WI17","WI17-40",1231,0.282075,3.05e-05,0.000312,0.01442,0.282068,2.33,1.07
"WI84","WI84-1",1173,0.282107,3.85e-05,0.001067,0.0534,0.282083,1.58,1.35
"WI84","WI84-2",1178,0.28219,4.5e-05,0.001264,0.06292,0.282162,4.37,1.575
"WI84","WI84-4",1167,0.282119,3.95e-05,0.001258,0.0642,0.282091,1.86,1.385
"WI84","WI84-5",1193,0.28216,5e-05,0.00092,0.042,0.28214,3.58,1.75
"WI84","WI84-6",1175,0.28208,3.9e-05,0.000802,0.0396,0.282062,0.83,1.365
"WI84","WI84-7",1190,0.282141,4.35e-05,0.000965,0.0468,0.28212,2.87,1.525
"WI84","WI84-8",1180,0.28213,4.35e-05,0.001235,0.0651,0.282103,2.27,1.525
"WI84","WI84-9",1173,0.282121,4e-05,0.001197,0.05939,0.282094,1.98,1.4
"WI84","WI84-11",1164,0.282139,4.7e-05,0.000814,0.0401,0.282121,2.92,1.645
"WI84","WI84-12",1158,0.282153,4.8e-05,0.001304,0.0699,0.282124,3.03,1.68
"WI84","WI84-13",1171,0.282155,3.6e-05,0.001291,0.06682,0.282126,3.11,1.26
"WI84","WI84-14",1173,0.282102,4.4e-05,0.001041,0.0516,0.282079,1.43,1.54
"WI84","WI84-15",1185,0.282143,4.2e-05,0.000573,0.02746,0.28213,3.25,1.47
"WI84","WI84-16",1177,0.282113,3.9e-05,8e-04,0.0413,0.282095,2.01,1.365
"WI84","WI84-17",1184,0.282114,4.3e-05,9e-04,0.0437,0.282094,1.96,1.505
"WI84","WI84-19",1174,0.282122,3.75e-05,0.000454,0.0207,0.282112,2.6,1.315
"WI84","WI84-20",1172,0.282083,4.55e-05,0.000605,0.02803,0.28207,1.1,1.595
"WI84","WI84-21",1170,0.282096,4.35e-05,0.00068,0.032,0.282081,1.5,1.525
"WI84","WI84-22",1177,0.282129,4.55e-05,0.00131,0.0656,0.2821,2.17,1.595
"WI84","WI84-23",1180,0.282169,4e-05,0.000875,0.0441,0.28215,3.93,1.4
"WI84","WI84-24",1164,0.282134,4.55e-05,0.001189,0.0586,0.282108,2.44,1.595
"WI84","WI84-25",1173,0.282183,4.25e-05,0.000781,0.0374,0.282166,4.5,1.49
"WI85","WI85-1",1169,0.282081,4.5e-05,0.001199,0.05848,0.282054,0.56,1.575
"WI85","WI85-2",1191,0.28208,5.5e-05,0.001178,0.0577,0.282054,0.54,1.925
"WI85","WI85-3",1170,0.282135,4.1e-05,0.001111,0.054,0.28211,2.54,1.435
"WI85","WI85-4",1185,0.282152,4.8e-05,0.000812,0.03722,0.282134,3.38,1.68
"WI85","WI85-5",1173,0.282162,3.95e-05,0.001196,0.0602,0.282135,3.43,1.385
"WI85","WI85-6",1174,0.282105,4.05e-05,0.000877,0.0428,0.282086,1.66,1.42
"WI85","WI85-7",1182,0.28213,5e-05,0.000639,0.02889,0.282116,2.74,1.75
"WI85","WI85-8",1188,0.282168,3.9e-05,0.000555,0.02573,0.282156,4.15,1.365
"WI85","WI85-9",1182,0.282185,4.55e-05,0.001224,0.06,0.282158,4.23,1.595
