"SampleID","SpotID","Crystallization_Age_Ma","Hf176_Hf177","Hf176_Hf177_1s","Lu176_Hf177","Yb176_Hf177","Hf176_Hf177_initial","eHf","eHf_1s"
199424.1,"199424-01.1",1025.17535041,0.282219,1.1e-05,0.000755225,0.0307131,0.282204421,2.597965796,0.385
199424.1,"199424-02.1",852.692347821,0.282226,7.2e-06,0.000531484,0.0246953,0.28221748,-0.791140407,0.252
199424.1,"199424-10.1",1545.948936807,0.281969,5.5e-06,0.00110836,0.0476186,0.281936578,4.816599997,0.1925
199424.1,"199424-11.1",1236.571115812,0.282187,4.8e-06,0.00130111,0.0586512,0.282156645,5.645521743,0.168
199424.1,"199424-12.1",1797.637579441,0.28165,5.5e-06,0.000761426,0.0311696,0.281624039,-0.569185442,0.1925
199424.1,"199424-13.1",593.361636789,0.281988,6.3e-06,0.00084772,0.0392906,0.281978566,-15.013854866,0.2205
199424.1,"199424-14.1",586.652928242,0.281749,4.4e-06,0.0001132,0.00537769,0.281747754,-23.335388987,0.154
199424.1,"199424-16.1",1723.173453958,0.281394,4.6e-06,0.00157654,0.0642623,0.281342511,-12.254859329,0.161
199424.1,"199424-20.1",583.094036879,0.282379,6.9e-06,7.5159e-05,0.00417332,0.282378178,-1.091020452,0.2415
199424.1,"199424-23.1",561.800679854,0.281899,3.5e-06,0.000134393,0.00715469,0.281897584,-18.579659525,0.1225
199424.1,"199424-25.1",1585.346102244,0.281739,1.2e-05,0.00129766,0.0583055,0.281700059,-2.685473493,0.42
199424.1,"199424-26.1",1175.113609958,0.281777,7e-06,0.000453007,0.0192611,0.281766962,-9.551929804,0.245
199424.1,"199424-28.1",1163.802046823,0.28207,3.5e-06,0.000823607,0.0286764,0.282051928,0.298124999,0.1225
199424.1,"199424-29.1",2585.317507845,0.281062,6.5e-06,0.000505915,0.022244,0.281037009,-3.379002297,0.2275
199424.1,"199424-30.1",575.668027169,0.281884,5.1e-06,0.000617924,0.0251556,0.28187733,-18.990141291,0.1785
199424.1,"199424-30.2",572.093307103,0.281953,6.2e-06,0.000362446,0.015134,0.281949112,-16.527492824,0.217
199424.1,"199424-32.1",894.734606123,0.282237,8.5e-06,0.000613305,0.0286887,0.28222668,0.472333698,0.2975
199424.1,"199424-33.1",968.56878295,0.282025,5e-06,0.00117764,0.0523678,0.282003534,-5.7872917,0.175
199424.1,"199424-34.1",857.208684604,0.282251,4.4e-06,0.00157797,0.0698379,0.28222557,-0.403838126,0.154
199424.1,"199424-35.1",579.765044627,0.282294,5.7e-06,0.000562673,0.0230587,0.282287883,-4.362091484,0.1995
199424.1,"199424-37.1",606.253576152,0.281707,5.2e-06,0.000381745,0.016931,0.281702659,-24.498724863,0.182
