"SampleID","SpotID","Crystallization_Age_Ma","Hf176_Hf177","Hf176_Hf177_1s","Lu176_Hf177","Yb176_Hf177","Hf176_Hf177_initial","eHf","eHf_1s"
"CAP","cap5",1183,0.28172,0.0092,0.00034,0.078,0.281712415233508,-10.2,0.75
"CAP","cap6",929,0.282486,0.0092,0.00137,0.311,0.282462056766007,10.4,0.6
"CAP","cap7a",1802,0.281597,0.0104,0.00059,0.127,0.281576834740982,-0.5,0.85
"CAP","cap7b",1713,0.281636,0.0151,0.00081,0.179,0.281609704769172,-1.5,1.1
"CAP","cap9",492,0.282389,0.0147,0.00061,0.131,0.282383377003708,-2.5,0.8
"CAP","cap11c",1169,0.2819,0.0145,0.00056,0.111,0.281887656901718,-4.4,1.3
"CAP","cap12",1121,0.28197,0.0153,0.00051,0.107,0.281959225370246,-3,1.55
"CAP","cap23",1237,0.282054,0.016,4e-04,0.082,0.282044664711248,2.8,1.2
"CAP","cap28",1182,0.282124,0.0153,5e-04,0.098,0.282112855464563,3.9,1.2
"CAP","cap30a",1945,0.281775,0.0161,0.00049,0.108,0.281756899307711,9.3,2.5
"CAP","cap35",1623,0.281643,0.0147,0.00116,0.244,0.281607351214112,-3.7,1.15
"CAP","cap37a",1218,0.282121,0.0159,0.00059,0.124,0.28210744435693,4.6,1.55
"CAP","cap37b",755,0.282123,0.0139,0.00039,0.082,0.282117469663229,-5.9,0.85
"CAP","cap40a",556,0.281816,0.0148,4e-04,0.083,0.281811830660585,-21.3,0.8
"CAP","cap40b",1682,0.281574,0.014,0.00069,0.154,0.281552012113737,-4.3,0.95
"CAP","cap41",1635,0.28182,0.0142,0.00084,0.175,0.281793991570943,3.2,1.15
"CAP","cap44b",298,0.282264,0.0157,0.00129,0.281,0.282256810607261,-11.4,0.85
"CAP","cap44e",1773,0.281581,0.0145,0.00063,0.136,0.281559819890797,-1.8,1.15
"CAP","cap44f",1205,0.281993,0.015,0.00042,0.088,0.28198345437615,-0.1,1.25
"CAP","cap44h",2140,0.281217,0.0153,0.00095,0.205,0.281178317761152,-6.7,1.2
"CAP","cap48c",1161,0.282163,0.0143,0.00054,0.109,0.282151180064334,4.8,1.2
"CAP","cap49",588,0.282365,0.0151,5e-04,0.105,0.282359486725415,-1.1,0.85
"CAP","p59a",2908,0.280767,0.0153,0.00028,0.053,0.280751395088833,-3.4,0.9
"CAP","p59b",1780,0.281744,0.0155,0.00071,0.15,0.281720034540184,4,1.2
"CAP","cap60c",1086,0.282214,0.0145,0.00098,0.212,0.282193948806007,4.5,1.25
"CAP","cap64c",899,0.282332,0.0144,0.00081,0.199,0.282318304767793,4.6,0.85
"CAP","cap65a",561,0.282234,0.0147,0.00025,0.053,0.282231370606273,-6.3,0.8
"CAP","cap67d",604,0.2818,0.0163,0.00037,0.08,0.281795808534732,-20.7,0.9
"CAP","p69a",1104,0.282223,0.0159,4e-04,0.081,0.282214678788761,5.7,1.3
"CAP","cap70b",811,0.282284,0.0151,0.00077,0.16,0.282272265112246,0.9,0.85
"CAP","cap72",1172,0.282116,0.0169,0.00068,0.143,0.282100973066417,3.2,1.5
