"SampleID","SpotID","Crystallization_Age_Ma","Hf176_Hf177","Hf176_Hf177_1s","Lu176_Hf177","Yb176_Hf177","Hf176_Hf177_initial","eHf","eHf_1s"
"135966.1","135966-01.1",569,0.282356,9.7e-06,0.000140521,0.00689416,0.2823545,-2.24170456,0.3395
"135966.1","135966-03.1",2370,0.281198,9.3e-06,0.000460327,0.019814,0.281177196,-3.357329015,0.3255
"135966.1","135966-05.1",1601,0.281775,9e-06,0.00075305,0.035541,0.281752175,-0.481569464,0.315
"135966.1","135966-08.1",1582,0.28199,5.6e-06,0.000704717,0.0301175,0.281968898,6.77960786,0.196
"135966.1","135966-11.1",1631,0.281766,6.7e-06,0.000715666,0.025828,0.281743896,-0.09600195,0.2345
"135966.1","135966-12.1",508,0.281998,6.6e-06,0.000442803,0.020455,0.281993784,-16.362797114,0.231
"135966.1","135966-13.1",1882,0.281572,4.9e-06,0.000804963,0.0340082,0.281543244,-1.518777167,0.1715
"135966.1","135966-14.1",1723,0.281405,7.3e-06,0.000786188,0.0307769,0.281379326,-10.951853475,0.2555
"135966.1","135966-15.1",2701,0.280799,8.5e-06,0.00141648,0.0600473,0.280725819,-11.774737302,0.2975
"135966.1","135966-16.1",1583,0.2817,9.1e-06,0.000589897,0.026943,0.281682324,-3.367948127,0.3185
"135966.1","135966-19.1",1867,0.281529,1.2e-05,0.000724613,0.0333197,0.281503324,-3.277911172,0.42
"135966.1","135966-20.1",353,0.282545,7.7e-06,0.00104406,0.0385047,0.282538103,-0.516880434,0.2695
"135966.1","135966-23.1",560,0.282169,1.5e-05,0.00112077,0.041525,0.282157233,-9.425876896,0.525
"135966.1","135966-27.1",1772,0.281645,1.6e-05,0.00111235,0.0440267,0.281607625,-1.734621982,0.56
"135966.1","135966-29.1",2978,0.280733,7.6e-06,0.000658804,0.0237965,0.280695375,-6.427759762,0.266
"135966.1","135966-30.1",1741,0.281781,5.8e-05,0.00111084,0.0527217,0.281744339,2.41496413,2.03
"135966.1","135966-33.1",1068,0.282443,1.4e-05,0.00118785,0.0514193,0.282419102,11.166691977,0.49
"135966.1","135966-34.1",1202,0.282101,1.3e-05,0.000727115,0.0270786,0.282084515,2.311015427,0.455
"135966.1","135966-35.1",1773,0.28159,1.5e-05,0.00102659,0.0373746,0.281555486,-3.56303706,0.525
"135966.1","135966-40.1",2797,0.281199,4.4e-05,0.000724553,0.0284631,0.281160201,5.908076615,1.54
"135966.1","135966-40.1b (second half of signal)",2797,0.28101,1.5e-05,0.000604253,0.0293854,0.280977643,-0.588787585,0.525
"135966.1","135966-42.1",1373,0.282093,7e-06,0.00103313,0.0375539,0.282066203,5.509389643,0.245
"135966.1","135966-44.1",1875,0.281613,1e-05,0.00256359,0.115923,0.281521768,-2.440830614,0.35
"135966.1","135966-48.1",585,0.28247,1.3e-05,0.000391701,0.0149013,0.282465703,2.050457168,0.455
"135966.1","135966-50.1",1153,0.282121,8.6e-06,0.0018918,0.0779764,0.282079879,1.046795612,0.301
"135966.1","135966-52.1",503,0.281975,6.7e-06,0.000950118,0.0382609,0.281966045,-17.455341807,0.2345
