"SampleID","SpotID","Crystallization_Age_Ma","Hf176_Hf177","Hf176_Hf177_1s","Lu176_Hf177","Yb176_Hf177","Hf176_Hf177_initial","eHf","eHf_1s"
184269.1,"184269-04.1",546,0.28171,4.6e-06,0.000236202,0.0116113,0.281707582,-25.656355473,0.161
184269.1,"184269-06.1",544,0.282529,1.1e-05,0.000262478,0.0102217,0.282526323,3.288273835,0.385
184269.1,"184269-07.1",1872,0.28154,6e-06,0.000404132,0.0185208,0.281525641,-2.371593203,0.21
184269.1,"184269-08.1",1744,0.281663,7.4e-06,0.000699845,0.0319241,0.281639862,-1.226020315,0.259
184269.1,"184269-09.1",1230,0.282004,5.3e-06,0.000290637,0.0139514,0.281997255,-0.154264482,0.1855
184269.1,"184269-11.1",1683,0.281686,1e-05,0.000657108,0.0334187,0.281665047,-1.716127182,0.35
184269.1,"184269-12.1",551,0.282208,4e-06,4.4146e-05,0.00315039,0.282207544,-7.843698495,0.14
184269.1,"184269-17.1",1323,0.282007,6.4e-06,0.000731052,0.0333677,0.281988737,1.635176681,0.224
184269.1,"184269-19.1",647,0.282078,8.6e-06,0.000857749,0.0330176,0.282067587,-10.673147851,0.301
184269.1,"184269-20.1",1168,0.281964,5.7e-06,0.000495283,0.0229323,0.281953092,-3.111983021,0.1995
184269.1,"184269-22.1",1068,0.28245,8.5e-06,0.00250555,0.119118,0.282399593,10.475126491,0.2975
184269.1,"184269-24.1",1741,0.281646,6.9e-06,0.000606222,0.0315102,0.281625993,-1.786536569,0.2415
184269.1,"184269-25.1",1132,0.282336,6.3e-06,0.000341619,0.0156144,0.282328711,9.397666368,0.2205
184269.1,"184269-26.1",1844,0.281626,7.2e-06,0.000863489,0.0300488,0.281595787,-0.517895155,0.252
184269.1,"184269-32.1",1562,0.281889,9e-06,0.00193226,0.0655901,0.281831882,1.464459794,0.315
184269.1,"184269-33.1",847,0.282345,1.1e-05,0.0017747,0.0731667,0.282316743,2.598921538,0.385
184269.1,"184269-34.1",1769,0.281441,6.6e-06,0.000386993,0.016372,0.281428019,-8.17949391,0.231
184269.1,"184269-36.1",1731,0.28166,5e-06,0.000551993,0.024474,0.281641889,-1.449220058,0.175
184269.1,"184269-38.1",1637,0.281941,5.2e-06,0.00102011,0.0426467,0.281909375,5.913359309,0.182
184269.1,"184269-40.1",550,0.281877,3.8e-06,0.000715678,0.0291909,0.281869621,-19.830678992,0.133
184269.1,"184269-41.1",2502,0.281199,5.2e-06,0.000476529,0.0181074,0.281176237,-0.35070634,0.182
184269.1,"184269-42.1",1176,0.282043,5.1e-06,0.000161234,0.00717439,0.282039424,0.128500244,0.1785
184269.1,"184269-43.1",1755,0.281422,6.7e-06,0.00106057,0.0453846,0.281386712,-9.963790667,0.2345
184269.1,"184269-45.1",589,0.282378,6e-06,0.000495899,0.0190768,0.282372522,-1.160387586,0.21
184269.1,"184269-46.1",1992,0.281145,4.5e-06,0.000508734,0.0213898,0.281125744,-13.841210306,0.1575
184269.1,"184269-47.1",2558,0.280969,5.2e-06,0.000499657,0.0220542,0.280944585,-7.297315304,0.182
184269.1,"184269-48.1",1569,0.281885,5.5e-06,0.000714972,0.0268031,0.281863769,2.75444401,0.1925
184269.1,"184269-52.1",3006,0.280909,4.7e-06,0.000938141,0.0400843,0.280854903,-0.095406041,0.1645
184269.1,"184269-53.1",2438,0.281054,6.3e-06,0.000654029,0.0272508,0.281023575,-7.254567163,0.2205
184269.1,"184269-57.1",919,0.282379,7.1e-06,0.000886274,0.0430774,0.282363678,5.868562073,0.2485
184269.1,"184269-58.1",1157,0.281868,5.7e-06,0.000411233,0.0175969,0.281859029,-6.693677541,0.1995
135962.1,"135962-01.1",665,0.282304,2.6e-05,0.00132502,0.0744573,0.282287464,-2.486807695,0.91
135962.1,"135962-06.1",2829,0.281018,2.6e-05,0.00115009,0.0636276,0.28095569,-0.626953902,0.91
135962.1,"135962-07.1",660,0.282324,1.4e-05,0.000875916,0.042244,0.282313151,-1.688054231,0.49
135962.1,"135962-10.1",1290,0.282014,2.4e-05,0.00136108,0.0635503,0.281980857,0.613035335,0.84
135962.1,"135962-11.1",520,0.282469,2.9e-05,0.00240825,0.118937,0.282445531,-0.103697348,1.015
135962.1,"135962-12.1",1544,0.281699,1.4e-05,0.00167842,0.086679,0.281649966,-5.398193044,0.49
135962.1,"135962-13.1",663,0.282248,9.1e-06,0.00182577,0.0901637,0.282225284,-4.733367631,0.3185
135962.1,"135962-22.1",1458,0.281835,1.8e-05,0.00112471,0.0521672,0.281803997,-1.875138783,0.63
135962.1,"135962-24.1",662,0.282164,1.6e-05,0.00117917,0.0429039,0.282149351,-7.444786525,0.56
135962.1,"135962-27.1",1694,0.281602,9.4e-06,0.000600899,0.0323253,0.281582712,-4.389381815,0.329
135962.1,"135962-30.1",1418,0.281532,2.2e-05,0.000911724,0.0383847,0.281507567,-13.29359639,0.77
135962.1,"135962-31.1",1049,0.282025,1.4e-05,0.000690014,0.0328636,0.282011367,-3.711849122,0.49
135962.1,"135962-33.1",656,0.282288,1.7e-05,0.00132249,0.0535589,0.28227172,-3.244129231,0.595
135962.1,"135962-34.1",651,0.282331,1e-05,0.00159699,0.0753147,0.282311492,-1.946562623,0.35
135962.1,"135962-38.1",1138,0.28211,1.1e-05,0.000911888,0.0388679,0.282090439,1.084767661,0.385
135962.1,"135962-39.1",506,0.282211,1.6e-05,0.00116692,0.0553892,0.282199935,-9.108500856,0.56
135962.1,"135962-40.1",665,0.282263,1.7e-05,0.000743504,0.0301065,0.282253721,-3.681851668,0.595
135962.1,"135962-43.1",517,0.28209,1e-05,0.000734972,0.0307284,0.282082879,-13.00960012,0.35
135962.1,"135962-47.1",646,0.282367,1.2e-05,0.000640721,0.0278442,0.282359233,-0.366771915,0.42
135962.1,"135962-48.1",1163,0.282099,1e-05,0.000997683,0.0445143,0.282077123,1.173453788,0.35
135962.1,"135962-50.1",1012,0.282056,1.1e-05,0.00112553,0.039939,0.282034555,-3.717451499,0.385
135962.1,"135962-51.1",652,0.282212,1.9e-05,0.00202791,0.084351,0.28218719,-6.326533431,0.665
135962.1,"135962-53.1",1502,0.281742,1.2e-05,0.000826927,0.0338516,0.281718508,-3.914962566,0.42
135962.1,"135962-54.1",1320,0.281717,1.4e-05,0.000473779,0.0219099,0.281705191,-8.489159439,0.49
135962.1,"135962-55.1",628,0.282432,1.4e-05,0.00189103,0.0680176,0.282409721,1.021766829,0.49
135962.1,"135962-56.1",2838,0.281093,9.2e-06,0.000883962,0.0364346,0.281044952,2.759074938,0.322
135962.1,"135962-58.1",663,0.282255,7e-06,0.00110597,0.0414908,0.282241239,-4.168287432,0.245
135963.1,"135963-1.1",3042,0.280715,1.6e-05,0.000899,0.024372,0.280662,-6.108037,0.56
135963.1,"135963-2.1",512,0.282172,2.3e-05,0.003088,0.112903,0.282142,-11.013877,0.805
135963.1,"135963-4.1",1050,0.28206,2.5e-05,0.003498,0.116541,0.28199,-4.418207,0.875
135963.1,"135963-8.1",578,0.282607,2.1e-05,0.000821,0.028342,0.282598,6.583358,0.735
135963.1,"135963-9.1",1180,0.282024,1.7e-05,0.001353,0.045945,0.281993,-1.396852,0.595
135963.1,"135963-12.1",1568,0.281984,2e-05,0.00166,0.058427,0.281934,5.2501,0.7
135963.1,"135963-30.1",1751,0.281566,2.1e-05,0.001931,0.062258,0.281501,-5.965887,0.735
135963.1,"135963-33.1",1557,0.28208,1.8e-05,0.001641,0.050862,0.282031,8.439854,0.63
135963.1,"135963-34.1",598,0.281785,1.6e-05,0.000737,0.026784,0.281776,-22.05849,0.56
135963.1,"135963-35.1",1455,0.282064,1.3e-05,0.000985,0.045637,0.282036,6.319667,0.455
135963.1,"135963-37.1",544,0.281558,2.1e-05,0.000286,0.012303,0.281555,-31.10027,0.735
135963.1,"135963-39.1",2712,0.281504,2.5e-05,0.004679,0.296916,0.281261,7.530675,0.875
135963.1,"135963-40.1",556,0.282396,1.4e-05,0.000419,0.015337,0.282391,-1.215245,0.49
135963.1,"135963-42.1",870,0.28265,2.4e-05,0.001857,0.086458,0.282619,13.842947,0.84
135963.1,"135963-43.1",1189,0.282188,1.7e-05,0.000959,0.03942,0.282166,4.925171,0.595
135963.1,"135963-46.1",1121,0.28215,1.9e-05,0.000747,0.032397,0.282134,2.2555,0.665
135963.1,"135963-47.1",793,0.282443,2.3e-05,0.00148,0.055956,0.28242,5.08704,0.805
135963.1,"135963-49.1",1472,0.281831,1.9e-05,0.001754,0.060227,0.281782,-2.33353,0.665
135963.1,"135963-51.1",2691,0.281221,1.5e-05,0.001814,0.102255,0.281127,2.289416,0.525
135964.1,"135964-1.1",1035,0.282159,1.4e-05,0.000768,0.033833,0.282144,0.676873,0.49
135964.1,"135964-3.1",847,0.282526,9e-06,0.002222,0.117911,0.28249,8.75902,0.343
135964.1,"135964-9.1",1047,0.282358,9e-06,0.000816,0.040456,0.282341,7.959756,0.336
135964.1,"135964-13.1",2029,0.281388,1.2e-05,0.000546,0.026119,0.281366,-4.429438,0.42
135964.1,"135964-15.1",1461,0.282091,1.4e-05,0.00067,0.025196,0.282072,7.718166,0.49
135964.1,"135964-16.1",603,0.282245,9e-06,0.000567,0.029801,0.282238,-5.59316,0.3255
135964.1,"135964-19.1",902,0.282291,1.1e-05,0.000424,0.019983,0.282283,2.658347,0.385
135964.1,"135964-23.1",1160,0.28191,1e-05,0.000356,0.012357,0.281902,-5.095594,0.35
135964.1,"135964-26.1",597,0.282218,9e-06,0.001274,0.05223,0.282203,-6.960283,0.315
135964.1,"135964-27.1",1605,0.281382,1.4e-05,0.001055,0.038283,0.281349,-14.666828,0.49
