"SampleID","SpotID","Crystallization_Age_Ma","Hf176_Hf177","Hf176_Hf177_1s","Lu176_Hf177","Yb176_Hf177","Hf176_Hf177_initial","eHf","eHf_1s"
"NR01","NR01-01",1042,0.282105,6.292e-06,0.000885,NA,0.282087633330192,-2.4,0.2
"NR01","NR01-02",666,0.282412,7.112e-06,3.11e-05,NA,0.282411611301012,0.1,0.25
"NR01","NR01-03",586,0.282131,6.321e-06,0.000113,NA,0.28212975826124,-10,0.2
"NR01","NR01-04",907,0.282007,9.7185e-06,0.000837,NA,0.281992721258739,-9.1,0.35
"NR01","NR01-05",285,0.282854,8.2705e-06,0.001156,NA,0.282847839212441,7.7,0.3
"NR01","NR01-06",636,0.282367,6.547e-06,0.000519,NA,0.282360807278834,-0.5,0.25
"NR01","NR01-07",614,0.282243,7.134e-06,0.000394,NA,0.28223846233556,-5.5,0.25
"NR01","NR01-08",276,0.282765,7.6695e-06,0.000683,NA,0.282761475261964,5.5,0.25
"NR01","NR01-09",597,0.281277,7.559e-06,4.54e-05,NA,0.281276491689604,-40.3,0.25
"NR01","NR01-10",826,0.282161,6.657e-06,0.000642,NA,0.28215103348471,-3.7,0.25
"NR01","NR01-11",821,0.282192,7.1925e-06,0.000814,NA,0.282179440408242,-3.8,0.25
"NR01","NR01-12",629,0.282072,1.2386e-05,0.000278,NA,0.282068719620499,-12.7,0.45
"NR01","NR01-13",537,0.282343,8.019e-06,0.001722,NA,0.282325667435523,-4,0.3
"NR01","NR01-14",359,0.282789,1.1492e-05,0.000574,NA,0.282785143974786,7.6,0.4
"NR01","NR01-15",543,0.282519,9.1095e-06,0.000614,NA,0.282512750461729,2.4,0.3
"NR01","NR01-16",624,0.282224,7.459e-06,0.000315,NA,0.282220312742199,-5.8,0.25
"NR01","NR01-17",592,0.282526,8.3015e-06,0.000839,NA,0.282516685443341,2.7,0.3
"NR01","NR01-18",611,0.282463,9.283e-06,0.000177,NA,0.282460971523,1.8,0.35
"NR01","NR01-19",347,0.28281,1.1053e-05,0.001391,NA,0.282800968882806,8.4,0.4
"NR01","NR01-20",572,0.281349,1.00545e-05,0.000179,NA,0.28134708024221,-37.7,0.35
"NR01","NR01-21",430,0.282457,6.445e-06,0.000943,NA,0.282449407206991,-3.5,0.25
"NR01","NR01-22",985,0.282334,8.08e-06,0.001201,NA,0.282311733434745,4.5,0.3
"NR01","NR01-23",2745,0.28099,7.2755e-06,0.000787,NA,0.280948660993761,-2.6,0.25
"NR01","NR01-24",630,0.282398,7.0655e-06,0.000706,NA,0.282389655929665,0.5,0.25
"NR01","NR01-25",617,0.28275,8.4775e-06,0.000358,NA,0.282745856683142,12.1,0.3
"NR01","NR01-26",673,0.282402,1.0547e-05,0.000682,NA,0.282393385964871,1.4,0.35
"NR01","NR01-27",1822,0.281622,8.842e-06,0.001146,NA,0.281582389397449,-1.4,0.3
"NR01","NR01-28",1054,0.28199,1.0699e-05,0.000862,NA,0.28197288794411,-7.4,0.4
"NR01","NR01-29",2458,0.281149,9.2045e-06,0.000345,NA,0.281132816508092,-3.4,0.35
"NR01","NR01-30",2161,0.28116,8.1375e-06,0.002908,NA,0.281040406106002,-21.1,0.3
"NR01","NR01-31",1073,0.28198,7.8145e-06,0.000927,NA,0.281961262529163,-5.2,0.3
"NR01","NR01-32",655,0.282284,7.3375e-06,0.000195,NA,0.282281603319931,-3,0.25
"NR01","NR01-33",237,0.282586,8.3875e-06,0.001247,NA,0.282580475998462,-1.7,0.3
"NR01","NR01-34",583,0.282366,7.162e-06,8.53e-05,NA,0.282365067476914,-1.6,0.25
"NR01","NR01-35",1429,0.282018,9.0115e-06,0.000325,NA,0.28200922202303,-13.7,0.3
"NR01","NR01-36",566,0.282468,8.0765e-06,0.000108,NA,0.282466853924513,1.6,0.3
"NR01","NR01-37",563,0.282186,8.039e-06,0.000218,NA,0.282183698951594,-8.5,0.3
"NR01","NR01-38",578,0.282002,7.513e-06,0.000372,NA,0.281997968260168,-14.7,0.25
"NR01","NR01-39",565,0.282256,8.3815e-06,0.000449,NA,0.282251243759913,-6.6,0.3
"NR01","NR01-40",1893,0.281213,8.5335e-06,6.43e-06,NA,0.281212768937621,-16.3,0.3
"NR01","NR01-41",463,0.282505,6.3665e-06,0.000675,NA,0.282499146171364,0.2,0.25
"NR01","NR01-42",846,0.282206,7.384e-06,0.000749,NA,0.282194088631814,-3.3,0.25
"NR01","NR01-43",822,0.282284,8.0705e-06,0.001477,NA,0.282261182695712,-3.4,0.3
"NR01","NR01-44",597,0.281363,6.0115e-06,0.000207,NA,0.281360682373307,-37.7,0.2
"NR01","NR01-45",263,0.282888,7.6225e-06,0.001526,NA,0.282880496659588,9,0.25
"NR01","NR01-46",642,0.2819,6.1605e-06,0.000191,NA,0.281897699354023,-17,0.2
