"SampleID","SpotID","Crystallization_Age_Ma","Hf176_Hf177","Hf176_Hf177_1s","Lu176_Hf177","Yb176_Hf177","Hf176_Hf177_initial","eHf","eHf_1s"
"08YR10","08YR10 01",1453,0.282078,1.3e-05,0.000848,0.020434,0.282054,6.9,NA
"08YR10","08YR10 02",1067,0.281833,1.1e-05,7.9e-05,0.002404,0.281832,-9.7,NA
"08YR10","08YR10 03",555,0.281349,1e-05,1.8e-05,0.000525,0.281349,-38.1,NA
"08YR10","08YR10 04",1450,0.28204,1.05e-05,0.000543,0.013826,0.282025,5.8,NA
"08YR10","08YR10 05",1191,0.282202,1.3e-05,0.000453,0.011451,0.282192,5.9,NA
"08YR10","08YR10 06",696,0.282235,1.25e-05,0.000585,0.016627,0.282228,-3.9,NA
"08YR10","08YR10 07",1134,0.282132,1.2e-05,0.000559,0.014474,0.28212,2.1,NA
"08YR10","08YR10 08",1351,0.282123,1.05e-05,0.001076,0.03548,0.282096,6.1,NA
"08YR10","08YR10 09",1170,0.281759,1.05e-05,0.00039,0.010491,0.28175,-10.2,NA
"08YR10","08YR10 11",1162,0.282139,9.5e-06,0.000803,0.022859,0.282121,2.7,NA
"08YR10","08YR10 12",1188,0.281972,1.2e-05,0.000481,0.013632,0.281961,-2.4,NA
"08YR10","08YR10 13",639,0.282397,1.35e-05,0.000922,0.02397,0.282386,0.4,NA
"08YR10","08YR10 14",2269,0.281016,1.1e-05,0.000272,0.007866,0.281005,-11.8,NA
"08YR10","08YR10 15",566,0.282426,1.3e-05,5.9e-05,0.002256,0.282425,0.2,NA
"08YR10","08YR10 16",801,0.282018,1.3e-05,0.000487,0.012526,0.282011,-9.3,NA
"08YR10","08YR10 17",1185,0.282179,1.1e-05,0.000601,0.015315,0.282165,4.8,NA
"08YR10","08YR10 18",976,0.281957,9.5e-06,4.4e-05,0.001561,0.281957,-7.3,NA
"08YR10","08YR10 19",517,0.28195,9.5e-06,0.000618,0.017571,0.281944,-17.9,NA
"08YR10","08YR10 21",1195,0.2817,1.2e-05,0.000204,0.005274,0.281695,-11.6,NA
"08YR10","08YR10 22",550,0.281858,1.5e-05,0.000313,0.008104,0.281855,-20.4,NA
"08YR10","08YR10 24",1079,0.281964,1.05e-05,0.000684,0.017302,0.28195,-5.2,NA
"08YR10","08YR10 25",771,0.282303,1.4e-05,0.000539,0.014915,0.282295,0.2,NA
"08YR10","08YR10 26",1136,0.282075,1.15e-05,0.000779,0.020216,0.282059,-0.1,NA
"08YR10","08YR10 27",1205,0.281979,1.15e-05,0.000346,0.009932,0.281971,-1.6,NA
"08YR10","08YR10 30",1190,0.282138,1.25e-05,0.000547,0.014191,0.282126,3.5,NA
"08YR10","08YR10 31",1066,0.281229,1.05e-05,0.000334,0.009613,0.281223,-31.3,NA
"08YR10","08YR10 32",1038,0.281969,9.5e-06,0.000767,0.021411,0.281954,-6,NA
"08YR10","08YR10 33",1199,0.281848,1.05e-05,0.000421,0.011246,0.281839,-6.4,NA
"08YR10","08YR10 34",2488,0.280953,1.2e-05,0.00054,0.013849,0.280927,-9.5,NA
"08YR10","08YR10 35",1983,0.281511,1.05e-05,0.000996,0.024203,0.281474,-1.6,NA
"08YR10","08YR10 36",540,0.281954,1.25e-05,0.000173,0.005147,0.281952,-17.1,NA
"08YR10","08YR10 37",1145,0.282132,9.5e-06,0.00055,0.014337,0.28212,2.3,NA
"08YR10","08YR10 38",496,0.281971,1.55e-05,0.000463,0.012527,0.281966,-17.6,NA
"08YR10","08YR10 39",538,0.281862,1.2e-05,0.000824,0.023543,0.281854,-20.6,NA
"08YR10","08YR10 40",1087,0.282163,1.25e-05,0.000577,0.014501,0.282151,2.1,NA
"08YR10","08YR10 41",1021,0.282201,1.35e-05,0.000505,0.01229,0.282191,2.1,NA
"08YR10","08YR10 42",1152,0.282108,1.15e-05,0.000638,0.016803,0.282094,1.6,NA
"08YR10","08YR10 43",1183,0.282107,1.25e-05,0.000951,0.026104,0.282086,2,NA
"08YR10","08YR10 44",1018,0.282117,1.25e-05,0.000823,0.021705,0.282101,-1.2,NA
"08YR10","08YR10 45",1417,0.282089,1.3e-05,0.001493,0.037341,0.282049,5.9,NA
"08YR10","08YR10 46",800,0.282309,1.25e-05,0.00091,0.02402,0.282295,0.8,NA
"08YR10","08YR10 47",844,0.282429,1.45e-05,0.00099,0.02516,0.282413,6,NA
"08YR10","08YR10 48",1260,0.282005,1.1e-05,0.000439,0.012002,0.281995,0.5,NA
"08YR10","08YR10 49",948,0.282351,1.35e-05,0.001343,0.034831,0.282327,5.2,NA
"08YR10","08YR10 51",1152,0.282177,1.1e-05,0.000464,0.012229,0.282167,4.1,NA
"08YR10","08YR10 52",1151,0.282149,1.2e-05,0.000886,0.022356,0.28213,2.8,NA
