"SampleID","SpotID","Pb207.Pb206","Pb207.Pb206_1s_per","Pb207.U235","Pb207.U235_1s_per","Pb206.U238","Pb206.U238_1s_per","Age206.238_Ma","Age206.238_Ma_1s","Age207.206_Ma","Age207.206_Ma_1s","Disc_per"
2123197,"197.01.1.1.",0.09309,1.07,3.3844,1.64,0.2637,1.24,1509,17,1490,20,-1.3
2123197,"197.02.1.1.",0.05864,1.04,0.7493,1.42,0.0927,0.96,571,5,554,23,-3
2123197,"197.03.1.1.",0.10919,0.59,4.6644,1.19,0.3098,1.03,1740,16,1786,11,2.6
2123197,"197.04.1.1.",0.08531,2.5,2.6433,2.77,0.2247,1.2,1307,14,1322,48,1.1
2123197,"197.05.1.1.",0.09196,1.17,3.2979,1.74,0.2601,1.3,1490,17,1467,22,-1.5
2123197,"197.06.1.1.",0.11288,0.63,5.3004,1.23,0.3406,1.06,1889,17,1846,11,-2.3
2123197,"197.07.1.1.",0.08054,2.05,2.3762,2.57,0.214,1.56,1250,18,1210,40,-3.2
2123197,"197.08.1.1.",0.07605,1.8,2.0348,2.63,0.194,1.92,1143,20,1096,36,-4.1
2123197,"197.09.1.1.",0.04455,5.01,0.2088,5.12,0.034,1.07,215,2,-80,123,-137.2
2123197,"197.09.2.1.",0.04894,4.1,0.2666,4.4,0.0395,1.58,250,4,145,96,-42
2123197,"197.10.1.1.",0.06306,1.52,0.8897,1.99,0.1023,1.28,628,8,710,32,13.1
2123197,"197.11.1.1.",0.06374,2.52,0.9404,2.81,0.107,1.24,655,8,733,53,11.9
2123197,"197.12.1.1.",0.09807,2.17,3.723,2.81,0.2753,1.8,1568,25,1588,40,1.3
2123197,"197.13.1.1.",0.10926,0.93,4.7613,1.4,0.316,1.04,1770,16,1787,17,1
2123197,"197.14.1.1r",0.19897,0.45,15.0343,1.2,0.548,1.12,2817,26,2818,7,0
2123197,"197.14.2.1c",0.19975,0.51,15.0786,1.3,0.5475,1.2,2815,27,2824,8,0.3
2123197,"197.15.1.1.",0.09745,0.74,3.5427,1.31,0.2637,1.08,1509,14,1576,14,4.4
