"SampleID","SpotID","Pb207.Pb206","Pb207.Pb206_1s_per","Pb207.U235","Pb207.U235_1s_per","Pb206.U238","Pb206.U238_1s_per","Age206.238_Ma","Age206.238_Ma_1s","Age207.206_Ma","Age207.206_Ma_1s","Disc_per"
2115399,"399.39.1.1",0.06565,3.22,1.2745,3.99,0.1408,2.35,849.2,18.7,795.3,67.5,-7.2
2115399,"399.79.1.1",0.07626,1.42,1.59764,2.23,0.15195,1.71,911.9,14.6,1101.9,28.5,18.5
2115399,"399.69.1.1",0.07428,0.97,1.56599,1.87,0.15291,1.6,917.3,13.6,1049,19.5,13.5
2115399,"399.55.1.1",0.07382,1.7,1.67648,2.42,0.1647,1.72,982.9,15.7,1036.7,34.4,5.6
2115399,"399.85.1.1",0.07529,0.82,1.79872,1.79,0.17326,1.59,1030.1,15.1,1076.4,16.5,4.7
2115399,"399.50.1.1",0.07505,1.28,1.88027,2.14,0.1817,1.72,1076.3,17,1069.9,25.6,-0.6
2115399,"399.15.1.1",0.078,0.81,2.02995,1.77,0.18875,1.57,1114.6,16.1,1146.8,16,3.1
2115399,"399.78.1.1",0.07664,2.73,2.00269,3.35,0.18952,1.95,1118.8,20,1111.8,54.4,-0.7
2115399,"399.49.1.1",0.08014,1.13,2.11447,2.06,0.19136,1.73,1128.8,17.9,1200.4,22.2,6.5
2115399,"399.90.1.1",0.07903,1.04,2.09111,1.91,0.1919,1.61,1131.7,16.7,1172.9,20.6,3.8
2115399,"399.27.1.1",0.07702,1.48,2.06897,2.28,0.19482,1.74,1147.4,18.3,1121.8,29.5,-2.5
2115399,"399.6.1.1",0.07793,1.74,2.10151,2.55,0.19559,1.86,1151.6,19.7,1145,34.7,-0.6
2115399,"399.12.1.1",0.07926,1.08,2.13896,2.02,0.19572,1.71,1152.3,18,1178.7,21.4,2.4
2115399,"399.54.1.1",0.07855,1.29,2.14504,2.56,0.19806,2.21,1164.9,23.6,1160.8,25.6,-0.4
2115399,"399.95.1.1",0.08032,0.69,2.22317,1.73,0.20073,1.59,1179.3,17.1,1205,13.6,2.3
2115399,"399.31.1.1",0.07966,1.43,2.211,2.81,0.20131,2.42,1182.3,26.1,1188.5,28.2,0.6
2115399,"399.62.1.1",0.07977,1.97,2.2357,2.58,0.20328,1.67,1192.9,18.2,1191.3,38.8,-0.2
2115399,"399.17.1.1",0.07897,1.3,2.22557,2.11,0.20441,1.66,1199,18.1,1171.3,25.7,-2.6
2115399,"399.47.1.1",0.08771,2.42,2.66288,2.95,0.2202,1.68,1282.9,19.6,1376.1,46.6,7.5
2115399,"399.100.1.1",0.08525,0.61,2.60624,1.83,0.22173,1.72,1291,20.1,1321.2,11.9,2.5
2115399,"399.96.1.1",0.08453,0.35,2.62676,1.58,0.22537,1.54,1310.2,18.2,1304.9,6.8,-0.4
2115399,"399.98.1.1",0.09115,0.45,3.10756,1.61,0.24727,1.55,1424.4,19.8,1449.7,8.5,1.9
