"SampleID","SpotID","Pb207.Pb206","Pb207.Pb206_1s_per","Pb207.U235","Pb207.U235_1s_per","Pb206.U238","Pb206.U238_1s_per","Age206.238_Ma","Age206.238_Ma_1s","Age207.206_Ma","Age207.206_Ma_1s","Disc_per"
2115405,"405.30.1.1",0.06905,1.26,1.53865,2.31,0.1616,1.94,965.7,17.4,900.4,26,-7.8
2115405,"405.70.1.1",0.07348,1.94,1.64057,2.65,0.16192,1.81,967.5,16.2,1027.3,39.3,6.3
2115405,"405.78.1.1",0.07306,2.1,1.67345,2.9,0.16612,1.99,990.7,18.3,1015.6,42.6,2.6
2115405,"405.90.1.1",0.07316,2.54,1.67872,3.89,0.16641,2.95,992.3,27.1,1018.5,51.5,2.8
2115405,"405.15.1.1",0.07228,1.2,1.68506,2.27,0.16909,1.92,1007.1,17.9,993.7,24.4,-1.5
2115405,"405.52.1.1",0.07535,1.63,1.77726,2.4,0.17107,1.76,1018,16.6,1077.8,32.7,6
2115405,"405.95.1.1",0.07657,5.11,1.85137,7.31,0.17536,5.22,1041.6,50.2,1110.1,102.1,6.7
2115405,"405.67.1.1",0.07225,1.75,1.79629,2.48,0.18031,1.76,1068.7,17.3,993.1,35.7,-8.3
2115405,"405.17.1.1",0.07687,0.82,1.95195,1.8,0.18417,1.6,1089.7,16,1117.8,16.4,2.7
2115405,"405.42.1.1",0.0763,1,1.97438,1.96,0.18767,1.68,1108.7,17.2,1103,20.1,-0.6
2115405,"405.19.1.1",0.07981,1.29,2.10808,2.15,0.19157,1.72,1129.9,17.9,1192.3,25.5,5.7
2115405,"405.94.1.1",0.07846,0.83,2.08143,1.8,0.19239,1.6,1134.3,16.6,1158.6,16.4,2.3
2115405,"405.98.1.1",0.07638,1.29,2.05338,2.15,0.19498,1.72,1148.3,18.1,1105.1,25.7,-4.3
2115405,"405.48.1.1",0.0767,1.4,2.06961,2.49,0.19569,2.06,1152.1,21.7,1113.5,28,-3.8
2115405,"405.18.1.1",0.07739,1.24,2.09597,2.15,0.19643,1.75,1156.1,18.5,1131.2,24.8,-2.4
2115405,"405.24.1.1",0.07877,1.09,2.13395,1.97,0.19648,1.64,1156.4,17.4,1166.4,21.6,0.9
2115405,"405.63.1.1",0.08161,1.39,2.21235,2.24,0.1966,1.76,1157,18.7,1236.3,27.3,7
2115405,"405.99.1.1",0.07938,2.51,2.16726,3.04,0.198,1.72,1164.6,18.3,1181.7,49.5,1.6
2115405,"405.50.1.1",0.08088,2.06,2.21592,2.97,0.19871,2.15,1168.4,22.9,1218.5,40.4,4.5
2115405,"405.79.1.1",0.08063,0.94,2.2207,1.92,0.19975,1.67,1174,17.9,1212.4,18.6,3.5
2115405,"405.73.1.1",0.08025,1.41,2.21197,2.32,0.1999,1.84,1174.8,19.8,1203.2,27.7,2.6
2115405,"405.92.1.1",0.08031,0.72,2.21798,1.75,0.20031,1.59,1177,17.2,1204.6,14.1,2.5
2115405,"405.88.1.1",0.07911,0.79,2.18988,1.79,0.20075,1.6,1179.4,17.2,1175,15.7,-0.4
2115405,"405.74.1.1",0.08008,1.95,2.26701,2.87,0.20533,2.11,1203.9,23.1,1198.9,38.4,-0.5
2115405,"405.32.1.1",0.08176,1.3,2.33462,2.22,0.2071,1.79,1213.4,19.8,1239.7,25.5,2.3
2115405,"405.47.1.1",0.08951,2.04,2.87102,2.96,0.23263,2.15,1348.3,26.1,1415.1,39.1,5.2
2115405,"405.6.1.1",0.09079,1.33,3.03165,2.29,0.24218,1.86,1398,23.4,1442.2,25.4,3.4
2115405,"405.89.1.1",0.09498,0.73,3.50546,1.78,0.26767,1.63,1529,22.1,1527.7,13.7,-0.1
2115405,"405.84.1.1",0.09624,1.32,3.55431,2.74,0.26786,2.4,1529.9,32.7,1552.4,24.8,1.6
2115405,"405.11.1.1",0.0961,0.79,3.64467,1.86,0.27505,1.68,1566.4,23.4,1549.8,14.8,-1.2
2115405,"405.85.1.1",0.10076,0.89,3.83543,1.94,0.27608,1.72,1571.6,24,1638.1,16.6,4.6
2115405,"405.38.1.1",0.09973,0.88,3.85137,1.88,0.28009,1.67,1591.8,23.5,1619,16.3,1.9
2115405,"405.97.1.1",0.10051,0.65,3.89623,1.76,0.28114,1.64,1597.1,23.1,1633.6,12,2.5
2115405,"405.77.1.1",0.09982,1.29,3.89765,2.3,0.2832,1.91,1607.5,27.2,1620.7,24,0.9
2115405,"405.64.1.1",0.10324,0.46,4.04438,1.63,0.28412,1.57,1612.1,22.3,1683.2,8.6,4.8
2115405,"405.55.1.1",0.10861,0.38,4.6028,1.59,0.30735,1.55,1727.7,23.5,1776.3,6.9,3.1
2115405,"405.46.1.1",0.10528,1.7,4.52682,2.46,0.31184,1.78,1749.7,27.2,1719.3,31.2,-2
2115405,"405.31.1.1",0.10711,0.64,4.61788,1.75,0.31269,1.63,1754,25,1750.8,11.6,-0.2
2115405,"405.96.1.1",0.11084,0.63,4.79879,1.77,0.31401,1.65,1760.4,25.4,1813.2,11.4,3.3
2115405,"405.25.1.1",0.11058,1.66,4.79668,2.71,0.31461,2.14,1763.4,33.1,1808.9,30.1,2.9
2115405,"405.83.1.1",0.11328,0.46,5.05521,1.65,0.32365,1.58,1807.5,25,1852.7,8.4,2.8
2115405,"405.45.1.1",0.11586,0.72,5.26776,1.97,0.32974,1.84,1837.1,29.4,1893.4,12.9,3.4
2115405,"405.22.1.1",0.11243,0.55,5.15948,1.7,0.33282,1.61,1852,25.9,1839.1,9.9,-0.8
2115405,"405.91.1.1",0.11516,1.74,5.31527,2.65,0.33475,2,1861.4,32.4,1882.4,31.3,1.3
2115405,"405.81.1.1",0.05372,1.43,0.46167,2.11,0.06233,1.56,389.8,5.9,359.4,32.3,-8.7
2115405,"405.81.2.1",0.05462,1.65,0.47257,2.3,0.06275,1.6,392.4,6.1,396.6,37.1,1.1
2115405,"405.12.1.1",0.05591,1.9,0.51578,2.5,0.0669,1.62,417.5,6.6,449,42.3,7.2
2115405,"405.12.2.1",0.05933,1.76,0.55487,2.39,0.06783,1.61,423.1,6.6,579,38.3,27.8
2115405,"405.58.2.1",0.05603,1.09,0.52607,2.04,0.0681,1.72,424.7,7.1,453.4,24.2,6.5
2115405,"405.4.1.1",0.0576,1.26,0.6316,2.14,0.07953,1.73,493.3,8.2,514.6,27.6,4.3
2115405,"405.14.1.1",0.05661,1.1,0.64288,1.9,0.08237,1.55,510.2,7.6,476.3,24.4,-7.4
2115405,"405.21.1.1",0.05664,4.49,0.64544,4.87,0.08264,1.89,511.9,9.3,477.6,99.3,-7.5
2115405,"405.2.1.1",0.05556,1.79,0.63677,2.4,0.08312,1.59,514.7,7.9,434.9,39.9,-19.1
2115405,"405.1.1.1",0.05728,2.07,0.66925,3.06,0.08474,2.26,524.4,11.4,502.3,45.6,-4.6
2115405,"405.100.1.1",0.05921,1.85,0.70589,2.44,0.08647,1.59,534.6,8.1,574.8,40.3,7.3
2115405,"405.43.1.1",0.06044,1.39,0.72926,2.12,0.08751,1.6,540.8,8.3,619.3,30.1,13.2
2115405,"405.37.1.1",0.06066,1.72,0.7351,2.49,0.08789,1.8,543,9.4,627.2,37.1,14
2115405,"405.44.1.1",0.07019,3.15,0.8686,3.62,0.08975,1.78,554.1,9.5,933.9,64.6,42.4
2115405,"405.20.1.1",0.05609,2.81,0.70295,3.28,0.0909,1.68,560.9,9,455.8,62.4,-24.1
2115405,"405.53.1.1",0.05867,0.64,0.73652,1.72,0.09105,1.6,561.7,8.6,554.9,14,-1.3
2115405,"405.10.1.1",0.05796,1.44,0.73173,2.14,0.09157,1.58,564.8,8.6,528.1,31.6,-7.3
2115405,"405.29.1.1",0.05798,1.32,0.74006,2.05,0.09257,1.57,570.7,8.6,529.1,28.8,-8.2
2115405,"405.26.1.1",0.05668,2.75,0.72596,3.21,0.0929,1.66,572.7,9.1,478.9,60.7,-20.5
2115405,"405.33.1.1",0.05982,1,0.77304,1.99,0.09373,1.72,577.6,9.5,596.9,21.6,3.4
2115405,"405.86.1.1",0.06211,3.16,0.80921,3.65,0.09449,1.82,582.1,10.1,677.9,67.6,14.8
2115405,"405.66.1.1",0.05837,0.98,0.76704,1.83,0.0953,1.55,586.8,8.7,543.8,21.3,-8.3
2115405,"405.76.1.1",0.05949,2.13,0.78848,4.89,0.09613,4.4,591.7,24.9,585.1,46.3,-1.2
2115405,"405.35.1.1",0.06129,1.32,0.81374,2.31,0.09629,1.9,592.6,10.7,649.5,28.3,9.2
2115405,"405.93.1.1",0.05989,1.65,0.79815,2.35,0.09665,1.67,594.7,9.5,599.8,35.7,0.9
2115405,"405.9.1.1",0.05603,4.77,0.75008,5.63,0.0971,2.99,597.4,17.1,453.5,105.9,-33.2
2115405,"405.36.1.1",0.06315,1.74,0.85031,2.45,0.09765,1.72,600.6,9.9,713.4,37,16.6
2115405,"405.72.1.1",0.05998,1.94,0.81061,2.56,0.09802,1.67,602.8,9.6,602.8,42.1,0
2115405,"405.65.1.1",0.06164,1.26,0.83493,2.98,0.09824,2.7,604.1,15.6,661.7,26.9,9.1
