"SampleID","SpotID","Pb207.Pb206","Pb207.Pb206_1s","Pb207.U235","Pb207.U235_1s","U238.Pb206","U238.Pb206_1s","Age206.238_Ma","Age206.238_Ma_1s","Age207.206_Ma","Age207.206_Ma_1s","Disc_per"
"GSWA_143747.1",61.1,0.059048488,0.00203006,NA,NA,10.91192887,0.153895595,565.2457149,7.736931945,568.8842518,74.82523808,0.639591774
"GSWA_143747.1",40.1,0.057243173,0.001181371,NA,NA,10.51744228,0.485197105,585.5120569,27.01294762,500.9139159,45.43937723,-16.8887584
"GSWA_143747.1",59.1,0.058045523,0.001918099,NA,NA,10.41372271,0.144803819,591.0842883,7.959358076,531.4805948,72.37760332,-11.21465093
"GSWA_143747.1",68.1,0.065065338,0.005043666,NA,NA,10.1625111,0.232089073,605.0306107,13.48307762,776.4499275,163.0352912,22.07731763
"GSWA_143747.1",31.1,0.058810921,0.008562697,NA,NA,7.039210556,0.245433933,856.3085374,28.90374785,560.1036777,317.3547781,-52.8839341
"GSWA_143747.1",27.1,0.070629655,0.001782334,NA,NA,5.660527974,0.084087136,1048.712892,14.57776239,946.7142808,51.66866495,-10.77395924
"GSWA_143747.1",39.1,0.070167974,0.005094749,NA,NA,5.512309139,0.15103681,1074.684821,27.82662005,933.2725623,148.9745611,-15.15230007
"GSWA_143747.1",23.1,0.070545158,0.002941596,NA,NA,5.484242212,0.102693756,1079.748788,18.94338104,944.2628415,85.40936699,-14.34832979
"GSWA_143747.1",32.1,0.078344593,0.008117055,NA,NA,5.421982684,0.100297092,1091.154501,18.89085927,1155.62518,205.5711127,5.578857288
"GSWA_143747.1",45.1,0.081362664,0.001018017,NA,NA,5.36045769,0.074009692,1102.665446,14.17349485,1230.21831,24.55847728,10.36831135
"GSWA_143747.1",54.1,0.080244212,0.002231709,NA,NA,5.219688457,0.098973683,1129.94102,20.00160252,1202.996486,54.80250543,6.072791328
"GSWA_143747.1",33.1,0.070096054,0.002734668,NA,NA,5.27354254,0.090826877,1119.347933,17.98276487,931.1681368,80.07204962,-20.20900291
"GSWA_143747.1",5.1,0.079089453,0.001624111,NA,NA,5.13175713,0.084248381,1147.675953,17.52376098,1174.37453,40.63306176,2.273429501
"GSWA_143747.1",21.1,0.077908224,0.000918169,NA,NA,5.102362493,0.069014887,1153.729726,14.46833651,1144.53388,23.42171279,-0.80345773
"GSWA_143747.1",53.1,0.081001682,0.001047659,NA,NA,5.077897496,0.072738498,1158.817292,15.39545711,1221.485181,25.41808378,5.130466548
"GSWA_143747.1",29.1,0.074334763,0.002284232,NA,NA,5.079908817,0.081316739,1158.397335,17.22554717,1050.57024,61.92935473,-10.26367308
"GSWA_143747.1",47.1,0.076544812,0.001110629,NA,NA,5.065266133,0.067839627,1161.461671,14.41185302,1109.355428,28.98596632,-4.696983623
"GSWA_143747.1",73.1,0.076352811,0.001553512,NA,NA,5.061765585,0.075612366,1162.196654,16.10659035,1104.336287,40.67687709,-5.23937936
"GSWA_143747.1",25.1,0.079543304,0.002690241,NA,NA,5.03811055,0.095762161,1167.187876,20.65293841,1185.687487,66.81201951,1.560243463
"GSWA_143747.1",57.1,0.078668642,0.000792083,NA,NA,5.034378752,0.064832933,1167.979215,13.92180573,1163.810152,19.95360006,-0.358225333
"GSWA_143747.1",71.1,0.076758457,0.006210212,NA,NA,5.040580044,0.07575577,1166.664803,16.26310486,1114.921206,161.4940815,-4.641009321
"GSWA_143747.1",28.1,0.0786533,0.000888953,NA,NA,4.987947742,0.062309499,1177.915799,13.60421888,1163.423633,22.39951496,-1.245648303
"GSWA_143747.1",35.1,0.0763507,0.002151258,NA,NA,4.999242929,0.09818433,1175.482972,21.49066868,1104.28102,56.33015553,-6.44781092
"GSWA_143747.1",52.1,0.079004427,0.000730843,NA,NA,4.962416164,0.06083644,1183.452336,13.40516019,1172.245831,18.31006815,-0.955985939
"GSWA_143747.1",26.1,0.070068818,0.00329261,NA,NA,4.975582362,0.096807336,1180.590737,21.37053437,930.3704643,96.45820777,-26.8946922
"GSWA_143747.1",11.1,0.076786988,0.001271177,NA,NA,4.89842776,0.070477894,1197.560327,15.93438274,1115.662972,33.04053432,-7.340689581
"GSWA_143747.1",2.1,0.079907939,0.002647039,NA,NA,4.873564616,0.093529737,1203.133513,21.43940441,1194.716556,65.35335969,-0.704514969
"GSWA_143747.1",66.1,0.079683842,0.000707124,NA,NA,4.870350516,0.058184307,1203.857767,13.26393992,1189.173776,17.52154049,-1.234806178
"GSWA_143747.1",19.1,0.078601923,0.00140397,NA,NA,4.781348857,0.072079261,1224.266413,17.04400089,1162.128494,35.40657114,-5.346906068
"GSWA_143747.1",9.1,0.075205017,0.002328925,NA,NA,4.628457362,0.083484006,1260.994501,21.00356766,1073.986026,62.19150999,-17.41256128
"GSWA_143747.1",10.1,0.091693336,0.000831543,NA,NA,4.004476662,0.051487398,1437.034285,16.75599784,1461.042727,17.23625758,1.643240254
"GSWA_143747.1",18.1,0.09282287,0.001382064,NA,NA,3.683692438,0.056882306,1548.242722,21.55043721,1484.276288,28.21043991,-4.309604299
"GSWA_143747.1",3.1,0.094178251,0.002370777,NA,NA,3.844924941,0.073668678,1490.267021,25.93904218,1511.691625,47.5208185,1.417260258
"GSWA_143747.1",34.1,0.096712709,0.001252084,NA,NA,3.493701259,0.051872201,1622.659076,21.58400993,1561.655813,24.27848633,-3.906319356
