"SampleID","SpotID","Pb207.Pb206","Pb207.Pb206_1s","Pb207.U235","Pb207.U235_1s","Pb206.U238","Pb206.U238_1s","Age206.238_Ma","Age206.238_Ma_1s","Age207.206_Ma","Age207.206_Ma_1s","Disc_per"
"08YR10","08YR10-01",0.0913,0.0013,3.2289,0.0505,0.2561,0.0024,1470,12,1453,16,0.4
"08YR10","08YR10-02",0.075,0.001,1.912,0.0311,0.1847,0.002,1092,11,1067,17,0.6
"08YR10","08YR10-03",0.0591,0.001,0.7341,0.0126,0.0899,7e-04,555,4,572,24,-0.7
"08YR10","08YR10-04",0.0912,0.0013,3.1877,0.0473,0.253,0.0017,1454,9,1450,18,0
"08YR10","08YR10-05",0.0798,0.0011,2.2513,0.0316,0.2043,0.0013,1199,7,1191,18,0.2
"08YR10","08YR10-06",0.0639,0.0018,1.0067,0.0302,0.114,0.0014,696,8,738,43,-1.6
"08YR10","08YR10-07",0.0775,0.0012,2.1118,0.0335,0.1973,0.0013,1161,7,1134,21,0.7
"08YR10","08YR10-08",0.0866,0.0011,2.7665,0.0342,0.2313,0.0013,1341,7,1351,15,-0.4
"08YR10","08YR10-09",0.0789,0.0016,2.1824,0.0435,0.2007,0.0015,1179,8,1170,27,0.3
"08YR10","08YR10-10",0.0803,0.0013,1.9087,0.0305,0.1721,0.0014,1024,7,1204,19,-5.9
"08YR10","08YR10-11",0.0786,0.001,2.0365,0.0279,0.1878,0.0015,1110,8,1162,15,-1.6
"08YR10","08YR10-12",0.0796,0.0024,2.2525,0.069,0.2053,0.0021,1204,11,1188,44,0.5
"08YR10","08YR10-13",0.064,0.0014,0.9232,0.0229,0.1042,0.0012,639,7,743,33,-3.9
"08YR10","08YR10-14",0.1434,0.002,8.2323,0.1126,0.4159,0.0028,2242,13,2269,14,-0.7
"08YR10","08YR10-15",0.0593,0.0012,0.7487,0.0154,0.0918,8e-04,566,5,579,29,-0.2
"08YR10","08YR10-16",0.0655,0.0011,1.1951,0.0201,0.1322,8e-04,801,5,790,25,0.4
"08YR10","08YR10-17",0.0795,0.0011,2.2813,0.0346,0.2079,0.0015,1217,8,1185,19,0.8
"08YR10","08YR10-18",0.0716,7e-04,1.6169,0.0205,0.1635,0.0014,976,7,974,13,-0.1
"08YR10","08YR10-19",0.058,0.0012,0.6675,0.013,0.0835,9e-04,517,5,529,25,-0.4
"08YR10","08YR10-21",0.0799,0.0013,2.2403,0.04,0.2034,0.002,1193,11,1195,20,-0.1
"08YR10","08YR10-22",0.0592,0.0012,0.7284,0.0152,0.0891,8e-04,550,5,575,30,-1.1
"08YR10","08YR10-24",0.0754,0.0011,1.7559,0.0284,0.1682,0.0015,1002,9,1079,18,-2.7
"08YR10","08YR10-25",0.0657,0.0036,1.1331,0.0518,0.1271,0.0024,771,14,797,64,0.3
"08YR10","08YR10-26",0.0776,9e-04,1.9671,0.0267,0.1828,0.0014,1082,7,1136,16,-2
"08YR10","08YR10-27",0.0803,0.0018,2.3276,0.0554,0.2096,0.0021,1226,11,1205,31,0.4
"08YR10","08YR10-30",0.0797,0.0012,2.1806,0.0365,0.197,0.002,1159,10,1190,18,-1.4
"08YR10","08YR10-31",0.0749,0.001,1.8507,0.0252,0.1781,0.0017,1056,9,1066,13,-0.8
"08YR10","08YR10-32",0.0739,0.001,1.7571,0.025,0.1714,0.0017,1020,9,1038,14,-1
"08YR10","08YR10-33",0.0801,0.0014,2.2295,0.0398,0.2011,0.0019,1181,10,1199,21,-0.8
"08YR10","08YR10-34",0.1631,0.0019,10.8924,0.135,0.4821,0.0043,2536,19,2488,10,0.9
"08YR10","08YR10-35",0.1218,0.0018,6.1016,0.0984,0.3612,0.0036,1988,17,1983,15,-0.1
"08YR10","08YR10-36",0.0579,8e-04,0.7014,0.0106,0.0874,7e-04,540,4,525,19,0
"08YR10","08YR10-37",0.0779,0.0012,2.1399,0.0327,0.1983,0.0017,1166,9,1145,17,0.3
"08YR10","08YR10-38",0.0568,0.0015,0.6298,0.0172,0.08,7e-04,496,4,483,45,0
"08YR10","08YR10-39",0.0601,0.0011,0.7238,0.0136,0.087,8e-04,538,5,608,24,-2.8
"08YR10","08YR10-40",0.0757,0.0017,1.9527,0.0437,0.1868,0.0017,1104,9,1087,30,0.5
"08YR10","08YR10-41",0.0732,0.0037,1.7707,0.0845,0.1753,0.0025,1041,14,1021,104,0.6
"08YR10","08YR10-42",0.0782,0.0012,2.3755,0.0486,0.2194,0.0031,1279,16,1152,20,3.4
"08YR10","08YR10-43",0.0794,0.001,2.2861,0.035,0.2078,0.002,1217,11,1183,16,0.7
"08YR10","08YR10-44",0.0732,0.001,1.6463,0.0247,0.1625,0.0012,971,6,1018,19,-1.8
