"SampleID","SpotID","Pb207.Pb206","Pb207.Pb206_1s","Pb207.U235","Pb207.U235_1s","U238.Pb206","U238.Pb206_1s","Age206.238_Ma","Age206.238_Ma_1s","Age207.206_Ma","Age207.206_Ma_1s","Disc_per"
135968.1,20.1,0.05624,0.00083,NA,NA,15.164,0.202,412,6,462,33,10.8
135968.1,33.1,0.05304,0.00179,NA,NA,12.213,0.177,507,8,330,76,-53.5
135968.1,63.1,0.0532,0.00203,NA,NA,12.105,0.056,512,2,337,86,-51.7
135968.1,30.1,0.05566,0.00243,NA,NA,10.98,0.147,562,8,439,97,-28.1
135968.1,56.1,0.05578,0.00073,NA,NA,14.512,0.08,430,2,444,29,3.2
135968.1,29.1,0.056,0.00146,NA,NA,14.2,0.227,439,7,452,58,3
135968.1,27.1,0.05811,0.00041,NA,NA,11.389,0.128,543,6,534,15,-1.6
135968.1,13.1,0.05899,0.00352,NA,NA,10.163,0.133,605,8,567,130,-6.8
135968.1,3.1,0.05901,0.00078,NA,NA,10.77,0.126,572,7,568,29,-0.8
135968.1,8.1,0.05945,8e-04,NA,NA,10.019,0.117,613,8,584,29,-5.1
135968.1,40.1,0.06021,0.00182,NA,NA,10.482,0.129,587,8,611,65,3.9
135968.1,10.1,0.0606,0.00056,NA,NA,10.453,0.128,589,8,625,20,5.8
135968.1,54.1,0.06591,0.0012,NA,NA,7.329,0.039,824,5,803,38,-2.6
135968.1,59.1,0.06757,0.01058,NA,NA,6.143,0.089,972,15,856,325,-13.6
135968.1,9.1,0.06848,0.00114,NA,NA,6.172,0.073,968,12,883,34,-9.6
135968.1,55.1,0.06961,7e-04,NA,NA,6.706,0.047,896,7,917,21,2.3
135968.1,23.1,0.06983,0.00115,NA,NA,7.045,0.088,856,11,923,34,7.3
135968.1,2.1,0.07011,0.00136,NA,NA,6.346,0.078,943,12,932,40,-1.3
135968.1,17.1,0.0705,0.00058,NA,NA,6.066,0.073,984,13,943,17,-4.3
135968.1,14.1,0.0708,0.00106,NA,NA,6.208,0.124,963,21,952,31,-1.2
135968.1,16.1,0.07147,0.00073,NA,NA,6.23,0.071,960,12,971,21,1.2
135968.1,43.1,0.07299,0.0012,NA,NA,5.712,0.045,1040,9,1014,33,-2.6
135968.1,62.1,0.07495,0.00206,NA,NA,6.152,0.042,971,7,1067,55,9
135968.1,36.1,0.07576,0.00054,NA,NA,5.413,0.065,1093,14,1089,14,-0.4
135968.1,44.1,0.07612,0.00054,NA,NA,5.317,0.024,1111,5,1098,14,-1.2
135968.1,52.1,0.07801,0.00222,NA,NA,5.031,0.045,1169,12,1147,57,-1.9
135968.1,64.1,0.07915,0.03238,NA,NA,5.036,0.213,1168,54,1176,809,0.7
135968.1,46.1,0.0794,0.00157,NA,NA,4.864,0.047,1205,13,1182,39,-2
135968.1,41.1,0.08018,0.00069,NA,NA,4.954,0.036,1185,9,1201,17,1.3
135968.1,51.1,0.08423,0.00149,NA,NA,4.562,0.035,1278,11,1298,34,1.6
135968.1,18.1,0.08935,0.00046,NA,NA,4.075,0.046,1415,18,1412,10,-0.2
135968.1,47.1,0.09026,0.00082,NA,NA,4.229,0.03,1368,11,1431,17,4.4
135968.1,28.1,0.09379,0.00079,NA,NA,3.806,0.046,1504,20,1504,16,0
135968.1,35.1,0.09397,0.00073,NA,NA,3.759,0.044,1520,20,1508,15,-0.9
135968.1,45.1,0.09588,0.00071,NA,NA,3.741,0.028,1527,13,1545,14,1.2
135968.1,26.1,0.09617,0.00303,NA,NA,3.491,0.07,1624,37,1551,59,-4.7
135968.1,32.1,0.09632,0.00131,NA,NA,3.766,0.049,1518,22,1554,26,2.3
135968.1,1.1,0.10224,0.0014,NA,NA,3.348,0.052,1685,30,1665,25,-1.2
135968.1,38.1,0.10271,6e-04,NA,NA,3.499,0.041,1620,21,1674,11,3.2
135968.1,15.1,0.10333,0.00045,NA,NA,3.371,0.038,1675,21,1685,8,0.6
135968.1,39.1,0.10343,0.00071,NA,NA,3.399,0.041,1663,23,1687,13,1.4
135968.1,19.1,0.10528,0.00096,NA,NA,3.152,0.04,1776,26,1719,17,-3.3
135968.1,60.1,0.10556,0.00532,NA,NA,3.367,0.038,1676,22,1724,93,2.8
135968.1,31.1,0.10579,0.00071,NA,NA,3.377,0.04,1672,23,1728,12,3.2
135968.1,61.1,0.1062,0.00095,NA,NA,3.285,0.017,1713,10,1735,16,1.3
135968.1,5.1,0.10685,8e-04,NA,NA,3.175,0.038,1765,24,1746,14,-1.1
135968.1,37.1,0.10807,0.00065,NA,NA,3.136,0.039,1784,25,1767,11,-1
135968.1,4.1,0.11056,6e-04,NA,NA,3.073,0.036,1816,24,1809,10,-0.4
135968.1,12.1,0.11298,0.00066,NA,NA,2.955,0.038,1879,28,1848,11,-1.7
135968.1,50.1,0.11306,0.00066,NA,NA,3.152,0.017,1776,11,1849,11,3.9
135968.1,22.1,0.17425,0.00078,NA,NA,1.992,0.024,2623,39,2599,7,-0.9
135968.1,21.1,0.1814,0.00132,NA,NA,1.949,0.027,2670,45,2666,12,-0.2
135968.1,34.1,0.18433,0.00117,NA,NA,1.97,0.024,2646,40,2692,11,1.7
135968.1,24.1,0.19346,5e-04,NA,NA,1.934,0.022,2687,37,2772,4,3.1
135968.1,48.1,0.23295,0.00087,NA,NA,1.633,0.012,3079,28,3072,6,-0.2
135968.1,57.1,0.29957,0.0019,NA,NA,1.407,0.012,3461,38,3468,10,0.2
