"SampleID","SpotID","Pb207.Pb206","Pb207.Pb206_1s","Pb207.U235","Pb207.U235_1s","U238.Pb206","U238.Pb206_1s","Age206.238_Ma","Age206.238_Ma_1s","Age207.206_Ma","Age207.206_Ma_1s","Disc_per"
135967.1,29.1,0.0557,0.00216,NA,NA,11.919,0.239,519,11,440,86,-17.9
135967.1,17.1,0.05333,0.00287,NA,NA,11.852,0.265,522,12,343,122,-52.3
135967.1,11.1,0.05767,0.00245,NA,NA,11.787,0.239,525,11,517,93,-1.5
135967.1,22.1,0.05877,0.00332,NA,NA,9.011,0.196,678,16,558,123,-21.5
135967.1,46.1,0.06023,0.00131,NA,NA,8.738,0.143,699,12,612,47,-14.1
135967.1,21.1,0.06393,0.00038,NA,NA,8.385,0.175,726,16,739,13,1.8
135967.1,18.1,0.06823,0.00134,NA,NA,7.265,0.146,831,18,875,41,5
135967.1,49.1,0.06839,0.0013,NA,NA,7.879,0.137,770,14,880,39,12.5
135967.1,2.1,0.06984,0.00109,NA,NA,6.498,0.129,923,20,924,32,0.1
135967.1,28.1,0.06996,0.00068,NA,NA,6.701,0.133,897,19,927,20,3.3
135967.1,5.1,0.07324,0.00133,NA,NA,5.944,0.118,1002,21,1021,37,1.8
135967.1,44.1,0.07542,0.00056,NA,NA,5.577,0.088,1063,18,1080,15,1.5
135967.1,27.1,0.07562,0.00078,NA,NA,5.597,0.109,1060,22,1085,21,2.3
135967.1,23.1,0.0765,0.00048,NA,NA,5.369,0.104,1101,23,1108,12,0.6
135967.1,52.1,0.0772,0.00091,NA,NA,5.09,0.085,1156,21,1126,24,-2.7
135967.1,39.1,0.07729,0.00106,NA,NA,5.103,0.085,1154,21,1129,27,-2.2
135967.1,47.1,0.07754,0.00222,NA,NA,5.178,0.091,1138,22,1135,57,-0.3
135967.1,55.1,0.07786,0.00133,NA,NA,5.007,0.087,1174,22,1143,34,-2.7
135967.1,60.1,0.07842,0.00052,NA,NA,5.217,0.083,1131,20,1158,13,2.3
135967.1,25.1,0.07865,0.00067,NA,NA,5.222,0.103,1129,24,1163,17,2.9
135967.1,40.1,0.07893,0.00126,NA,NA,5.083,0.089,1158,22,1170,32,1.1
135967.1,38.1,0.07935,0.00262,NA,NA,4.829,0.093,1213,26,1181,65,-2.7
135967.1,37.1,0.07984,9e-04,NA,NA,4.89,0.1,1199,27,1193,22,-0.5
135967.1,26.1,0.08034,0.00129,NA,NA,5.098,0.105,1155,26,1205,32,4.2
135967.1,3.1,0.0807,0.00124,NA,NA,4.753,0.102,1231,29,1214,30,-1.4
135967.1,43.1,0.08126,0.00052,NA,NA,4.684,0.075,1247,22,1228,13,-1.6
135967.1,51.1,0.08239,0.00092,NA,NA,4.667,0.079,1252,23,1255,22,0.3
135967.1,32.1,0.08287,0.00085,NA,NA,4.692,0.097,1246,28,1266,20,1.6
135967.1,7.1,0.08426,0.00065,NA,NA,4.297,0.084,1349,29,1299,15,-3.9
135967.1,14.1,0.08689,0.00091,NA,NA,4.368,0.089,1329,30,1358,20,2.1
135967.1,13.1,0.08727,0.00074,NA,NA,4.331,0.086,1339,30,1367,16,2
135967.1,16.1,0.08852,4e-04,NA,NA,4.218,0.082,1371,30,1394,9,1.6
135967.1,24.1,0.09206,0.00061,NA,NA,3.865,0.076,1483,33,1469,12,-1
135967.1,31.1,0.09381,0.001,NA,NA,3.612,0.073,1575,36,1504,20,-4.7
135967.1,8.1,0.09811,0.00051,NA,NA,3.701,0.072,1542,34,1589,10,3
135967.1,10.1,0.09868,0.00207,NA,NA,3.616,0.075,1574,37,1599,39,1.6
135967.1,20.1,0.09947,0.00082,NA,NA,3.524,0.07,1610,36,1614,15,0.3
135967.1,15.1,0.10033,8e-04,NA,NA,3.545,0.071,1602,36,1630,15,1.7
135967.1,19.1,0.10232,0.00149,NA,NA,3.396,0.074,1664,41,1667,27,0.2
135967.1,42.1,0.107,0.00075,NA,NA,3.147,0.052,1779,34,1749,13,-1.7
135967.1,48.1,0.10868,0.00101,NA,NA,3.099,0.053,1803,35,1777,17,-1.4
135967.1,6.1,0.10957,0.00053,NA,NA,3.025,0.059,1841,42,1792,9,-2.7
135967.1,41.1,0.14663,0.00039,NA,NA,2.317,0.037,2313,44,2307,5,-0.3
