"SampleID","SpotID","Pb207.Pb206","Pb207.Pb206_1s","Pb207.U235","Pb207.U235_1s","U238.Pb206","U238.Pb206_1s","Age206.238_Ma","Age206.238_Ma_1s","Age207.206_Ma","Age207.206_Ma_1s","Disc_per"
"GSWA_199423.1",14.1,0.053671458,0.003114188,NA,NA,10.91217213,0.157864169,565.2336506,7.938910295,357.2894185,130.9880068,-58.20050114
"GSWA_199423.1",65.1,0.053746309,0.005260866,NA,NA,11.34031528,0.286770384,544.7701352,13.5384376,360.4346728,220.849973,-51.14254437
"GSWA_199423.1",41.1,0.054640741,0.003066681,NA,NA,10.13846043,0.165080768,606.4004363,9.572484641,397.5520872,125.8066247,-52.53358133
"GSWA_199423.1",31.1,0.055096686,0.008021442,NA,NA,11.29545423,0.29373717,546.8445126,13.98301941,416.1487038,325.2861283,-31.4060353
"GSWA_199423.1",16.1,0.056199475,0.003067079,NA,NA,11.11947596,0.179704275,555.1366977,8.731530181,460.2576838,121.0047499,-20.61432481
"GSWA_199423.1",49.1,0.056307838,0.001040854,NA,NA,11.47096707,0.446381747,538.8175205,20.89576015,464.5272049,40.95529839,-15.99267272
"GSWA_199423.1",70.1,0.056540489,0.001670505,NA,NA,10.97045116,1.309052211,562.35816,72.5568253,473.6554569,65.35714292,-18.72726298
"GSWA_199423.1",31.2,0.057432916,0.001540081,NA,NA,10.62890713,1.194476182,579.639743,69.80516869,508.1954316,58.96721659,-14.05843245
"GSWA_199423.1",37.1,0.057768819,0.000504946,NA,NA,11.87096709,0.128866399,521.3761998,5.494343778,521.0051376,19.17911669,-0.071220448
"GSWA_199423.1",28.1,0.0579345,0.004136693,NA,NA,11.06697315,0.132533285,557.6596157,6.471877066,527.2857345,156.5050394,-5.760421566
"GSWA_199423.1",52.1,0.058121255,0.000951233,NA,NA,10.58088793,0.12963806,582.1550288,6.900938548,534.3357267,35.82966632,-8.949299058
"GSWA_199423.1",38.1,0.058290859,0.0004013,NA,NA,10.68146192,0.451605501,576.9116899,24.31595628,540.7113574,15.05528856,-6.694945841
"GSWA_199423.1",1.1,0.058332567,0.001045037,NA,NA,11.46497845,0.109534986,539.0875194,4.986633437,542.2753266,39.16745825,0.587857684
"GSWA_199423.1",20.1,0.058475595,0.00104161,NA,NA,11.05264035,0.110315794,558.3523414,5.389922749,547.6269339,38.90816213,-1.958524476
"GSWA_199423.1",40.2,0.058513488,0.006362318,NA,NA,10.60669238,0.257160326,580.8006611,13.78569076,549.0417582,237.4463486,-5.784423945
"GSWA_199423.1",7.1,0.058653558,0.000570405,NA,NA,10.96781659,0.085757472,562.4875182,4.243470823,554.2606999,21.21832757,-1.484286767
"GSWA_199423.1",51.1,0.058691726,0.001175326,NA,NA,11.56306904,0.148671319,534.6988921,6.679925531,555.679871,43.68165666,3.77573131
